year,month,option,A*,A,B,C,D,E,F,G
2019,m,CY,172,148,124,101,85,70,56,42
2020,m,CY,170,147,124,101,86,71,57,43
2021,m,CY,143,119,95,72,62,52,42,32
2022,m,CY,143,119,95,71,58,46,35,24
2019,s,CX,169,142,115,88,76,65,54,43
2019,s,CY,168,140,112,84,73,62,51,40
2019,s,CZ,164,137,110,83,72,61,50,39
2021,s,CX,142,117,92,67,57,47,38,29
2021,s,CY,145,118,91,64,54,44,36,28
2021,s,CZ,141,115,89,64,56,48,41,34
2019,w,CX,161,135,109,83,71,59,48,37
2019,w,CY,164,137,110,84,71,58,47,36
2019,w,CZ,160,136,112,89,77,65,54,43
2020,w,CX,154,130,106,83,69,56,43,30
2020,w,CY,140,118,96,74,62,51,40,29
2020,w,CZ,152,131,110,89,76,63,50,37
2021,w,CX,136,114,92,70,61,52,43,34
2021,w,CY,138,116,94,72,61,50,41,32
2021,w,CZ,142,120,98,76,65,55,46,37
