year,month,component,question number,answer,text,screenshot_path,ms_path,marks
2019.0,m,22,1.0,D,"1  A living organism, X, can make its own food, get rid of toxic materials and detect and respond to stimuli. What other four processes must organism X carry out to stay alive? A  excretion, growth, movement, sensitivity B  excretion, growth, nutrition, respiration C  growth, movement, reproduction, respiration D  movement, reproduction, respiration, sensitivity",screenshots/biology/2019/march/component22/q1,,
2019.0,m,22,2.0,C,2  What is a correct way of naming a species using the binomial system? A  Homo sapiens B  Homo Sapiens C  human being D  sapiens,screenshots/biology/2019/march/component22/q2,,
2019.0,m,22,3.0,C,3  The drawing is of a magnified human liver cell. X What is structure X? A  cytoplasm B  mitochondrion C  nucleus D rough endoplasmic reticulum,screenshots/biology/2019/march/component22/q3,,
2019.0,m,22,4.0,A,4  The diagram shows two cells. 3 Which process can be carried out by only one of these cells? A  controlling the chemical reactions in the cell B  controlling the movement of substances into the cell C  making starch inside the cell D  using glucose inside the cell,screenshots/biology/2019/march/component22/q4,,
2019.0,m,22,5.0,B,,,,
2019.0,m,22,6.0,C,,,,
2019.0,m,22,7.0,B,,,,
2019.0,m,22,8.0,B,8  Which process only involves the movement of water through the partially permeable membrane of a cell? A  absorption B  evaporation C  osmosis D transpiration,screenshots/biology/2019/march/component22/q8,,
2019.0,m,22,9.0,B,"9  Which statement about biological molecules is correct? 5 A  DNA contains the bases A, C, G and T. B  Glycogen is made from glycerol molecules. C  Oils are made from amino acids and glucose. D  Proteins are made from fatty acids.",screenshots/biology/2019/march/component22/q9,,
2019.0,m,22,10.0,A,10  The diagram shows the effect of an enzyme working in the human digestive system. enzyme at pH 1.5 and temperature 37 °C protein amino acids What would reduce the rate of production of amino acids? A B C D removing the amino acids as they are formed increasing the amount of protein raising the temperature to 37.1 °C raising the pH to 7.5,screenshots/biology/2019/march/component22/q10,,
2019.0,m,22,11.0,C,11  The diagrams show molecules involved in the action of a digestive enzyme such as maltase. Which is the substrate? A B C D [Turn over,screenshots/biology/2019/march/component22/q11,,
2019.0,m,22,12.0,B,12  The diagram shows an experiment to investigate photosynthesis. gas 6 light start finish light What is the most abundant gas present at the top of the tube at the end of the experiment? A  carbon dioxide B  methane C  sulfur dioxide D  oxygen,screenshots/biology/2019/march/component22/q12,,
2019.0,m,22,13.0,C,13  What will happen to a green plant grown in soil that is deficient in nitrate ions? A B C D It will have large leaves and good root growth. It will have purple leaves and poor root growth. It will have small leaves and a thin stem. It will have white leaves and a thick stem.,screenshots/biology/2019/march/component22/q13,,
2019.0,m,22,14.0,B,14  What is meant by chemical digestion? A  Large insoluble molecules are broken down into small soluble molecules. B  Large soluble molecules are broken down into small insoluble molecules. C  Small insoluble molecules are built up into large soluble molecules. D  Small soluble molecules are built up into large insoluble molecules. 7,screenshots/biology/2019/march/component22/q14,,
2019.0,m,22,15.0,D,15  The graph shows the concentration of maltose in different parts of the alimentary canal. X maltose concentration mouth stomach small intestine distance through the alimentary canal What causes the change in concentration at X? A  absorption of maltose B  action of amylase C  action of maltase D  assimilation of maltose,screenshots/biology/2019/march/component22/q15,,
2019.0,m,22,16.0,D,16  The diagram shows a cross-section through a plant stem. tissue 1 tissue 2 What are the functions of the two labelled tissues? A B C D tissue 1 transport only transport only tissue 2 support only transport and support transport and support support only transport only transport only [Turn over 8,screenshots/biology/2019/march/component22/q16,,
2019.0,m,22,17.0,C,"17  A leafy shoot is placed in a solution of a red dye. After 30 minutes, which part of a leaf from this shoot will contain the red dye? A B C D",screenshots/biology/2019/march/component22/q17,,
2019.0,m,22,18.0,C,"18  The diagram shows a section through a fish heart and the direction of blood flow. atrium ventricle After leaving the heart, where will the blood flow to next? A  eyes B fins C  gills D tail muscle",screenshots/biology/2019/march/component22/q18,,
2019.0,m,22,19.0,D,"19  The  graph  shows  pressure  changes  that  take  place  in  the  right  atrium,  right  ventricle  and  left ventricle of a human heart when the muscle walls contract and relax. 9 pressure / kPa 16 14 12 10 8 6 4 2 0 0.0 0.2 0.4 time / s 0.6 What is the pressure in the right ventricle when the left ventricle is at its maximum pressure? A  0.4 kPa B  2.0 kPa C  3.0 kPa D  15.0 kPa",screenshots/biology/2019/march/component22/q19,,
2019.0,m,22,20.0,C,,,,
2019.0,m,22,21.0,C,,,,
2019.0,m,22,22.0,C,,,,
2019.0,m,22,23.0,D,,,,
2019.0,m,22,24.0,A,24  The diagram shows the structure of a kidney tubule. Where does filtration occur? 11 A B C D,screenshots/biology/2019/march/component22/q24,,
2019.0,m,22,25.0,D,25  The diagram shows a section through part of the human eye. suspensory ligaments lens What takes place when a person looks at an object which is far away from their eye? A B C D suspensory ligaments slacken slacken tighten tighten lens becomes fatter becomes thinner becomes fatter becomes thinner [Turn over,screenshots/biology/2019/march/component22/q25,,
2019.0,m,22,26.0,B,26  Which statement about adrenaline is correct? 12 A  Adrenaline causes the pupils to narrow. B  Adrenaline increases blood glucose concentration. C  Adrenaline secretion increases when at rest. D  Adrenaline slows down the pulse rate.,screenshots/biology/2019/march/component22/q26,,
2019.0,m,22,27.0,C,27  The diagram shows an experiment on oat seedlings. All the seedlings are exposed to light from directly above. Which seedling will grow to the left? light A B C D left right intact seedling tip cut off and thrown away,screenshots/biology/2019/march/component22/q27,,
2019.0,m,22,28.0,C,28  What type of organism is MRSA? tip cut off and a block of agar containing auxin tip cut off and a block of agar containing auxin fungus A  bacterium B C  protoctist D  virus,screenshots/biology/2019/march/component22/q28,,
2019.0,m,22,29.0,B,29  What describes the nuclei in human reproduction? A B C D egg diploid diploid haploid haploid sperm diploid diploid haploid haploid zygote diploid haploid diploid haploid,screenshots/biology/2019/march/component22/q29,,
2019.0,m,22,30.0,B,30  The graph shows a hormone that is involved in controlling the menstrual cycle. 13 hormone concentration What is the hormone? 0 14 time / days 28 A  FSH B  LH C  oestrogen D  progesterone,screenshots/biology/2019/march/component22/q30,,
2019.0,m,22,31.0,A,31  What happens as a result of mitosis? A B C D genetically identical cells produced chromosome number is halved (cid:22) (cid:22) (cid:26) (cid:26) (cid:22) (cid:26) (cid:22) (cid:26) key (cid:22) = yes (cid:26) = no,screenshots/biology/2019/march/component22/q31,,
2019.0,m,22,32.0,C,32  Which parents could produce offspring with blood group O? A  heterozygous father with blood group A and heterozygous mother with blood group B B  heterozygous father with blood group A and homozygous mother with blood group B C  homozygous father with blood group A and heterozygous mother with blood group B D  homozygous father with blood group A and homozygous mother with blood group O,screenshots/biology/2019/march/component22/q32,,
2019.0,m,22,33.0,A,,,,
2019.0,m,22,34.0,A,34  What is the correct definition of a gene mutation? 14 A  a change in the base sequence of DNA B  a change in the gene or chromosome C  a change in the number of amino acids D  a change in the number of chromosomes,screenshots/biology/2019/march/component22/q34,,
2019.0,m,22,35.0,B,35  Energy flows through a food chain. In which form does the energy first enter the food chain? A  chemical B  heat C  kinetic D light,screenshots/biology/2019/march/component22/q35,,
2019.0,m,22,36.0,A,36  Which organisms are responsible for removing nitrate ions from soil? A  denitrifying bacteria and nitrogen-fixing bacteria in root nodules B  denitrifying bacteria and plants C  nitrifying bacteria and plants D  nitrogen-fixing bacteria in root nodules,screenshots/biology/2019/march/component22/q36,,
2019.0,m,22,37.0,D,37  What are all reasons why bacteria are useful in genetic engineering? A  They are very small. They do not need large containers. They have no mitochondria. B  They  reproduce  asexually.  They  can  double  their  numbers  in  twenty  minutes  in  good conditions. They have cell walls. C  They have the same genetic code as other organisms. They have plasmids. There is a lack of ethical concern about their use. D  Their DNA is not in a nucleus. They have a cell membrane. They have a large surface area to volume ratio.,screenshots/biology/2019/march/component22/q37,,
2019.0,m,22,38.0,C,38  Which statement describes the role of DNA ligase in genetic engineering? A  cuts open a bacterial plasmid B C D joins the human gene to the plasmid inserts plasmid back into bacterium isolates a human gene,screenshots/biology/2019/march/component22/q38,,
2019.0,m,22,39.0,A,,,,
2019.0,m,22,40.0,C,,,,
2019.0,s,21,1.0,C,1  The diagram shows a leaf on a plant. 2 Sun simple sugars made in the leaf water from the soil carbon dioxide from the air Which characteristic of life is represented by this diagram? A  excretion B  nutrition C respiration D  sensitivity ancestors.,screenshots/biology/2019/summer/component21/q1,,
2019.0,s,21,2.0,C,2  The  diagram  shows  how  Homo  sapiens  (modern  people)  could  have  evolved  from  earlier Homo sapiens (modern people) Homo heidelbergensis Homo erectus Homo habilis Which statement about modern people and their ancestors is correct? A  They are in the same species and the same genus. B  They are in the same species but not the same genus. C  They are in the same genus but not the same species. D  They are neither the same species nor the same genus.,screenshots/biology/2019/summer/component21/q2,,
