year,month,component,question number,text,screenshot_path,ms_path,marks
2016.0,m,42,1.0,"DC (CW/FD) 112431/6 [Turn over 1  A researcher used a light microscope to observe epithelial cells from a human cheek. Fig. 1.1 is a photograph that the researcher made of these cells. 2 (cid:36) (cid:37) (a)  (i)  Name the parts labelled A and B. Fig. 1.1 A  ........................................................................................................................................ B  ........................................................................................................................................ [2] (ii)  The cells in Fig. 1.1 each have a cell membrane. State one of the functions of a cell membrane. ........................................................................................................................................... .......................................................................................................................................[1] (iii)  State how the shape of the cells shown in Fig. 1.1 differs from the shape of a palisade mesophyll cell in a leaf. ........................................................................................................................................... ........................................................................................................................................... .......................................................................................................................................[1] (b)  Fig. 1.2 shows an electron micrograph of a mitochondrion. 3 Fig. 1.2 Mitochondria have two membranes, an inner membrane and an outer membrane. The inner membrane is folded and used in respiration. Suggest why the inner membrane of mitochondria is folded. ................................................................................................................................................... ................................................................................................................................................... ...............................................................................................................................................[1] [Turn over (c)  Table 1.1 shows different specialised cells and the average number of mitochondria each cell contains. 4 Table 1.1 specialised cell type liver cell red blood cell sperm cell heart muscle cell average number of mitochondria 1000–2000 0 25–75 1500 Explain the differences between the average numbers of mitochondria in the cells shown in Table 1.1. ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ...............................................................................................................................................[4]",screenshots/2016/march/component42/q1,marking_schemes/2016/march/component42/q1,9.0
2016.0,m,42,2.0,2  Reflexes are simple responses that protect the body. The pathway that nerve impulses travel along during a reflex is called a reflex arc. 5 (a)  Letters A to G show the components of a reflex arc. stimulus A B  motor neurone C D E F G  effector sensory neurone receptor cell response relay neurone Put the components into the correct sequence. Two have been done for you. A E [1] (b)  Impulses travel between neurones across a synapse. Describe how impulses travel across the synapse from one neurone to another. ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ...............................................................................................................................................[3] (c)  Drugs such as heroin restrict the movement of impulses across synapses. Users can become addicted to heroin. When users stop taking heroin they may experience withdrawal symptoms. (i)  State two withdrawal symptoms that heroin users may experience. 1  ........................................................................................................................................ 2  ........................................................................................................................................ [2] (ii)  Suggest why heroin abuse may increase criminal activity. ........................................................................................................................................... ........................................................................................................................................... .......................................................................................................................................[1] [Turn over 6 (d)  Heroin abuse may lead to HIV infection. There is currently no approved vaccine that prevents the spread of HIV. Vaccination stimulates active immunity against specific pathogens. (i)  Explain how vaccination stimulates active immunity. ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... .......................................................................................................................................[4] (ii)  Explain what is meant by passive immunity. ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... .......................................................................................................................................[2],screenshots/2016/march/component42/q2,marking_schemes/2016/march/component42/q2,13.0
2016.0,m,42,3.0,"7 3  Yeast is used in bread-making. It respires anaerobically, producing carbon dioxide. (a)  Write the balanced chemical equation for anaerobic respiration of yeast in bread-making. ...............................................................................................................................................[2] A baker wants to increase the rate of carbon dioxide production in the bread-making process. The baker trialled different concentrations of glucose solution in the bread dough. Fig. 3.1 shows the results. rate of carbon dioxide production / cm3 per min 4.5 4.0 3.5 3.0 2.5 2.0 1.5 1.0 0.5 0.0 0.0 1.0 2.0 3.0 4.0 5.0 6.0 7.0 concentration of glucose solution / % Fig. 3.1 (b)  (i)  Predict the rate of carbon dioxide production if the concentration of the glucose solution was 7.0%. .................................................................................................................. cm3 per min [1] (ii)  The baker carried out the trials at 30 °C. The trials were repeated at 20 °C. Draw a line on Fig. 3.1 to show the rate of carbon dioxide production at 20 °C. [2] (iii)  The baker carried out another trial at 80 °C. No carbon dioxide was released. State why no carbon dioxide was produced. .......................................................................................................................................[1] (c)  Name one other industrial process that uses yeast. ...............................................................................................................................................[1] [Turn over (d)  During the production of penicillin, large fermenters are used. Fig. 3.2 shows a fermenter. 8 (cid:83)(cid:85)(cid:72)(cid:86)(cid:86)(cid:88)(cid:85)(cid:72) (cid:85)(cid:72)(cid:79)(cid:72)(cid:68)(cid:86)(cid:72)(cid:3)(cid:89)(cid:68)(cid:79)(cid:89)(cid:72) (cid:80)(cid:82)(cid:87)(cid:82)(cid:85) (cid:83)(cid:85)(cid:82)(cid:69)(cid:72)(cid:86) (cid:81)(cid:88)(cid:87)(cid:85)(cid:76)(cid:72)(cid:81)(cid:87)(cid:86) (cid:86)(cid:87)(cid:72)(cid:85)(cid:76)(cid:79)(cid:72)(cid:3)(cid:68)(cid:76)(cid:85) (cid:70)(cid:82)(cid:82)(cid:79)(cid:76)(cid:81)(cid:74)(cid:3)(cid:90)(cid:68)(cid:87)(cid:72)(cid:85) (cid:87)(cid:68)(cid:83) (cid:83)(cid:85)(cid:82)(cid:71)(cid:88)(cid:70)(cid:87)(cid:86) Fig. 3.2 (cid:86)(cid:68)(cid:80)(cid:83)(cid:79)(cid:72)(cid:3)(cid:87)(cid:88)(cid:69)(cid:72) (cid:70)(cid:82)(cid:82)(cid:79)(cid:76)(cid:81)(cid:74)(cid:3)(cid:90)(cid:68)(cid:87)(cid:72)(cid:85) (cid:90)(cid:68)(cid:87)(cid:72)(cid:85)(cid:16)(cid:73)(cid:76)(cid:79)(cid:79)(cid:72)(cid:71) (cid:77)(cid:68)(cid:70)(cid:78)(cid:72)(cid:87) (cid:86)(cid:87)(cid:76)(cid:85)(cid:85)(cid:72)(cid:85) (i)  Explain the functions of the following parts of the fermenter: stirrer  ................................................................................................................................. ........................................................................................................................................... water-filled jacket  ............................................................................................................... ........................................................................................................................................... probes  ............................................................................................................................... ........................................................................................................................................... [3] (ii)  The air and nutrients that are added to the fermenter are sterile. State why they must be sterile. ........................................................................................................................................... ........................................................................................................................................... .......................................................................................................................................[1]",screenshots/2016/march/component42/q3,marking_schemes/2016/march/component42/q3,11.0
2016.0,m,42,4.0,"4 (a) Increasing  human  population  is  linked  to  a  change  in  carbon  dioxide  concentration  in  the atmosphere.  Fig.  4.1  shows  the  carbon  dioxide  concentration  between  1958  and  2010 measured at Mauna Loa, Hawaii. 9 carbon dioxide concentration / parts per million 400 390 380 370 360 350 340 330 320 310 1960 1970 1980 1990 2000 2010 year Fig. 4.1 Describe how the carbon dioxide concentration has changed between 1958 and 2010. You will gain credit for using data from Fig. 4.1. ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ...............................................................................................................................................[3] [Turn over (b)  (i)  Carbon dioxide is a greenhouse gas. Name one other greenhouse gas. 10 .......................................................................................................................................[1] (ii)  Explain how carbon dioxide enhances the greenhouse effect. ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... .......................................................................................................................................[3] (c)  Mineral ions are needed for plant growth. Complete Table 4.1 to show the function and effect of the lack of some mineral ions on plants. One has been done for you. Table 4.1 mineral ion function in plants effect of lack of mineral ion on plants nitrate magnesium phosphate used for making DNA poor root growth [4] 11 (d)  Fertilisers can cause pollution to aquatic systems. Overuse of fertilisers may cause eutrophication. Lake Udai Sagar in India is an example of an aquatic system that shows high levels of eutrophication. Explain what happens in aquatic environments, such as Lake Udai Sagar, when eutrophication occurs. ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ...............................................................................................................................................[6]",screenshots/2016/march/component42/q4,marking_schemes/2016/march/component42/q4,17.0
2016.0,m,42,5.0,"[Turn over 5 Fig. 5.1 shows the different types of human teeth. 12 (cid:80)(cid:82)(cid:79)(cid:68)(cid:85)(cid:86) (cid:83)(cid:85)(cid:72)(cid:80)(cid:82)(cid:79)(cid:68)(cid:85)(cid:86) (cid:70)(cid:68)(cid:81)(cid:76)(cid:81)(cid:72) (cid:76)(cid:81)(cid:70)(cid:76)(cid:86)(cid:82)(cid:85)(cid:86) Fig. 5.1 (a)  Describe the functions of the canine and molar teeth. ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ...............................................................................................................................................[2] (b)  Fig. 5.2 shows the skulls of a tiger and a rabbit. (cid:87)(cid:76)(cid:74)(cid:72)(cid:85) (cid:85)(cid:68)(cid:69)(cid:69)(cid:76)(cid:87) Fig. 5.2   not to scale (i)  State two ways in which the teeth of a tiger differ from the teeth of a rabbit, using evidence from Fig. 5.2. 13 ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... .......................................................................................................................................[2] (ii)  Suggest one feature visible in Fig. 5.2 that indicates the tiger is a carnivore. ........................................................................................................................................... ........................................................................................................................................... .......................................................................................................................................[1] [Turn over 14 (c)  Omnivores are animals that eat both animals and plants. Scientists use the number and types of teeth to classify animals as carnivores, herbivores or omnivores. Table 5.1 shows examples of different types of mammals and their teeth. Table 5.1 mammal carnivore, herbivore incisors canines premolars molars 1 2 3 4 5 6 X or omnivore omnivore omnivore herbivore herbivore carnivore carnivore 12 12 12 6 12 12 12 4 4 4 2 4 4 4 16 16 12 12 16 10 12 12 12 12 12 10 8 8 total number of teeth 44 40 32 42 34 36 (i)  Calculate  the  number  of  molars  as  a  percentage  of  the  total  number  of  teeth  for mammal 1. Show your working. Give your answer to the nearest whole number. .............................................................% [2] (ii)  The skull of an unidentified mammal, X, is likely to be a carnivore. Discuss the evidence in Table 5.1 for and against classifying mammal X as a carnivore. ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... .......................................................................................................................................[4] 15 (d)  Mechanically digested food travels from the mouth to the stomach. The gastric juice in the stomach contains hydrochloric acid, giving a low pH environment. Explain why it is important to have a low pH in the stomach. ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ...............................................................................................................................................[3] (e)  Products of digestion are absorbed through the villi in the small intestine. Explain how villi are adapted for absorption. ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ...............................................................................................................................................[3] (f)  Coeliac disease is caused by a reaction to a protein called gluten. The villi become damaged causing a reduction in the absorption of nutrients. Suggest possible effects on the body of a reduction in the absorption of nutrients. ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ...............................................................................................................................................[3]",screenshots/2016/march/component42/q5,marking_schemes/2016/march/component42/q5,20.0
2016.0,m,42,6.0,"[Turn over 6  A new species of frog was discovered in 2009 in the Amazon rainforest in Peru. Fig. 6.1 shows this frog, Osteocephalus castaneicola. 16 (a)  State the genus of this animal. Fig. 6.1 ...............................................................................................................................................[1] In the past, anatomy was a way to classify species. DNA is now used to aid the classification of organisms. (b)  (i)  Draw and annotate a diagram to show the structure of DNA. [3] (ii)  Describe how DNA can be used to classify organisms. 17 ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... .......................................................................................................................................[2] (c)  DNA controls cell function by controlling the production of proteins. (i)  Proteins are coded for by a length of DNA. What is the name given to the length of DNA which codes for a protein? .......................................................................................................................................[1] (ii)  Describe the role of mRNA in protein synthesis. ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... .......................................................................................................................................[3]",screenshots/2016/march/component42/q6,marking_schemes/2016/march/component42/q6,10.0
2016.0,m,62,1.0,"DC (ST/SW) 109262/5 [Turn over 1  Some students investigated the effect of temperature on the activity of amylase. 2 Amylase is an enzyme that catalyses the break down of starch. Starch changes the colour of iodine solution from orange-brown to blue-black. Step 1 The students added 2 cm3 of starch solution to a test-tube, labelled it W, and placed it into a beaker of warm water. Step 2 They added 2 cm3 of starch solution to a second test-tube, labelled it C, and placed it into a beaker of iced water. Step 3  The students placed one dropping pipette into each of test-tubes W and C. Step 4  They waited five minutes before continuing. Step 5 The students added 10 drops of amylase solution to each of test-tubes W and C and shook both test-tubes gently. Step 6  They started a timer. Step 7 The students immediately tested the liquids in test-tubes W and C for starch using iodine solution. Step 8   The students repeated step 7 after 2, 4, 6 and 8 minutes. (a) Iodine solution can affect the activity of amylase. The students tested the liquids in test-tubes W and C using iodine solution without affecting the activity of the amylase. Describe how the students did this. ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ...............................................................................................................................................[2] 3 The students observed that the liquid from test-tube W turned the iodine solution blue-black after 0 minutes, dark brown after 2 minutes, and it remained orange-brown after 4, 6 and 8 minutes. The liquid from test-tube C turned the iodine solution blue-black after 0, 2 and 4 minutes and dark brown after 6 and 8 minutes. (b)   Prepare a table to record these observations in the space below. (c)   Suggest reasons for: (i)  waiting for five minutes at step 4 [4] ........................................................................................................................................... ........................................................................................................................................... .......................................................................................................................................[1] (ii)   using separate dropping pipettes for test-tubes W and C. ........................................................................................................................................... ........................................................................................................................................... .......................................................................................................................................[1] [Turn over (d)  Explain the observations for test-tube W. 4 ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ...............................................................................................................................................[3] (e)   The students concluded: “The higher the temperature, the greater the activity of amylase.” Do you agree with this conclusion? Give a reason for your answer. ................................................................................................................................................... ................................................................................................................................................... ...............................................................................................................................................[1] (f)  There is a source of error in step 5 of the method. (i) Identify this source of error. ........................................................................................................................................... ........................................................................................................................................... .......................................................................................................................................[1] (ii)  Suggest apparatus that could be used to minimise this source of error. .......................................................................................................................................[1] 5 (g)   State one other source of error in the method used in this investigation. Suggest how to improve the method to minimise this source of error. error  .......................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... improvement  ............................................................................................................................. ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... [2] (h)   Some students stated: “The activity of amylase is greatest at 40 °C.” Describe an investigation to test whether this statement is correct. The investigation should be similar to that described in steps 1–8. ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ...............................................................................................................................................[6] [Turn over (i)  Amylase breaks starch down into reducing sugars. 6 Outline how the students could show that reducing sugars are present in a solution. ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ...............................................................................................................................................[2]",screenshots/2016/march/component62/q1,marking_schemes/2016/march/component62/q1,24.0
2016.0,s,41,1.0,"06_0610_41_2016_1.15 [Turn over *7774192182*2 1 (a) Fig. 1.1 shows the human heart and the main blood vessels. The functions of the parts of the heart and some of the blood vessels are given in Table 1.1. A B C D E K J H G F Fig. 1.1 06_0610_41_2016_1.15 3 Complete Table 1.1. One row has been done for you. Table 1.1 function letter on Fig. 1.1 name structure that separates oxygenated and deoxygenated blood structure that prevents backflow of blood from ventricle to atrium blood vessel that carries oxygenated blood A aorta blood vessel that carries deoxygenated blood structure that prevents backflow of blood from pulmonary artery to right ventricle chamber of the heart that contains oxygenated blood chamber of the heart that contains deoxygenated blood [6] 06_0610_41_2016_1.15 [Turn over 4 (b) A group of students used a heart monitor to record the pulse rate of an athlete during a 5000 metre race. The recordings started just before the race began and ended just after it had finished, as shown in Fig. 1.2. start of race end of race 180 160 140 120 100 80 60 40 20 pulse rate / beats per minute 0 0 2 4 6 12 14 16 18 10 8 time / min Fig. 1.2 (i) Use data from Fig. 1.2 to describe the effect of exercise on the pulse rate of the athlete. ................................................................................................................................ ................................................................................................................................ ................................................................................................................................ ................................................................................................................................ ................................................................................................................................ ................................................................................................................................ ................................................................................................................................ [3] 06_0610_41_2016_1.15 5 (ii) Explain the change in pulse rate between 2 minutes and 3 minutes after the recordings started. ................................................................................................................................ ................................................................................................................................ ................................................................................................................................ ................................................................................................................................ ................................................................................................................................ ................................................................................................................................ ................................................................................................................................ ................................................................................................................................ ................................................................................................................................ [4]",screenshots/2016/summer/component41/q1,marking_schemes/2016/summer/component41/q1,13.0
2016.0,s,41,2.0,06_0610_41_2016_1.15 [Turn over 6 2 The nervous system coordinates the responses of animals to changes in their environment. (a) Fig. 2.1 shows the arrangement of the nervous system in a mammal. Complete Fig. 2.1 by writing the names of the missing parts of the mammalian nervous system in the boxes. nervous system ............................ nervous system ............................ nervous system brain ............................ cranial nerves spinal nerves Fig. 2.1 [3] (b) Fig. 2.2 is a flow chart that shows how an involuntary action is controlled. painful stimulus pain receptor X relay neurone motor neurone muscle response Fig. 2.2 06_0610_41_2016_1.15 7 (i) State the structure found at X. ................................................................................................................................ [1] (ii) State the type of involuntary action shown by the flow chart. ................................................................................................................................ [1] (iii) State two ways in which a voluntary action differs from an involuntary action. 1 ............................................................................................................................. ................................................................................................................................ 2 ............................................................................................................................. ................................................................................................................................ [2] 06_0610_41_2016_1.15 [Turn over 8 (c) Fig. 2.3 shows three pots of seedlings that have been kept in different conditions. pot P pot Q Fig. 2.3 pot R (i) State the conditions in which pots P and Q were kept. P ............................................................................................................................. Q............................................................................................................................. [1] (ii) State the name of the growth response shown by the seedlings in pot R. ................................................................................................................................ [2] 06_0610_41_2016_1.15 9 (iii) Explain the advantage to the seedlings of this growth response. ................................................................................................................................ ................................................................................................................................ ................................................................................................................................ ................................................................................................................................ ................................................................................................................................ [2] (iv) Auxins control the growth responses of seedlings. Explain how auxins control the growth response of the seedlings in pot R. ................................................................................................................................ ................................................................................................................................ ................................................................................................................................ ................................................................................................................................ ................................................................................................................................ ................................................................................................................................ ................................................................................................................................ ................................................................................................................................ ................................................................................................................................ [4],screenshots/2016/summer/component41/q2,marking_schemes/2016/summer/component41/q2,16.0
