year,month,component,question number,text,screenshot_path
2016,s,23,1,"1  The diagram shows an experiment to demonstrate diffusion. 2 cotton wool soaked in hydrochloric acid ammonium chloride cotton wool soaked in ammonia solution Which statement explains why the ring of ammonium chloride appears as shown? A  Ammonia solution only produces a gas which moves until it meets the hydrochloric acid. B  Both solutions produce a gas, but ammonia moves quicker than hydrogen chloride because it is lighter. C  Hydrochloric  acid  produces  hydrogen  chloride  which  stays  at  one  end  of  the  tube  until  the ammonia reaches it. D  The two solutions run along the tube until they meet.",2016/summer/component23/q1.png
2016,s,23,2,"2  Chromatography experiments are carried out on four substances, P, Q, R and S. The same solvent is used in each experiment. The resulting chromatograms are shown below. P Q R S baseline Which statement is not correct? A  P and Q are pure substances. B  P and R are different substances. C  R and S are pure substances. D  S is a mixture of substances.",2016/summer/component23/q2.png
2016,s,23,3,3  The  diagram  shows  the  apparatus  used  to  separate  the  different  components  of  a  mixture  by chromatography. 3 chromatography paper solvent front spot solvent baseline Which statement about this experiment is correct? A  A locating agent is used to find the position of the solvent front. B  The components to be separated must be soluble in the solvent. C  The baseline on which the spot of the mixture is placed is drawn in ink. D  The Rf value is calculated by the distance travelled by solvent the front the distance by travelled component the,2016/summer/component23/q3.png
2016,s,23,4,4  Which statements about isotopes of the same element are correct? 1  They  are  atoms  which  have  the  same  chemical  properties  because  they  have  the same number of electrons in their outer shell. 2  They  are  atoms  which  have  the  same  number  of  electrons  and  neutrons  but different numbers of protons. 3  They are atoms which have the same number of electrons and protons but different numbers of neutrons. A  1 and 2 B  1 and 3 C  2 only D  3 only [Turn over 4,2016/summer/component23/q4.png
2016,s,23,5,"5  The table shows the electronic structure of four atoms. atom electronic structure W X Y Z 2,8,1 2,8,4 2,8,7 2,8,8 Which two atoms combine to form a covalent compound? A  W and X B  W and Y C  X and Y D  X and Z",2016/summer/component23/q5.png
2016,s,23,6,6  Which statement describes the attractive forces between molecules (intermolecular forces)? A  They are strong covalent bonds which hold molecules together. B  They are strong ionic bonds which hold molecules together. C  They are weak forces formed between covalently-bonded molecules. D  They are weak forces which hold ions together in a lattice.,2016/summer/component23/q6.png
2016,s,23,7,7  Which substance exists as a lattice of positive ions in a ‘sea of electrons’? A liquid potassium chloride B  solid graphite C  solid magnesium D  solid silicon(IV) oxide,2016/summer/component23/q7.png
2016,s,23,8,8  Analysis of a compound formed between magnesium and nitrogen showed it contained 14.4 g of magnesium and 5.6 g of nitrogen. What is the empirical formula of the compound? A  Mg2N3 B  Mg3N2 C  Mg4N6 D  Mg6N4,2016/summer/component23/q8.png
2016,s,23,9,9  An excess of zinc is added to 100 cm3 of 1.0 mol / dm3 hydrochloric acid. The equation for the reaction is: Zn  +  2HCl  →  ZnCl 2  +  H2 What is the maximum volume of hydrogen evolved at room temperature and pressure? A  1.2 dm3 B  2.0 dm3 C  2.4 dm3 D  24 dm3,2016/summer/component23/q9.png
2016,s,23,10,10  The diagram shows a method used to copper-plate a pan 5 + – copper pan copper(II) sulfate solution Which equation represents the reaction at the cathode? A  Cu2+  +  2e–  →  Cu B  2H+  +  2e–  →  H2 C  4OH–  →  O2  +  2H2O  +  4e– D  2O2–  →  O2  +  4e–,2016/summer/component23/q10.png
2016,s,23,11,11  The diagram shows some properties that substances may have. To which labelled part of the diagram does 235U belong? compound B A C used as an energy source D radioactive [Turn over,2016/summer/component23/q11.png
2016,s,23,12,12  The diagram shows a simple cell. 6 V metal P Which pair of metals produces the largest voltage? A B C D metal P metal Q iron magnesium magnesium zinc copper copper zinc copper wire metal Q dilute sulfuric acid,2016/summer/component23/q12.png
2016,s,23,13,"13  Hydrazine, N2H4, decomposes as shown. H H N H N H N N + H2 H The energy change for this reaction is –95 kJ / mol. The table shows some bond energies involved. bond bond energy in kJ / mol N N N–H H–H 945 391 436 What is the bond energy of the N–N bond? A  158 kJ / mol B  315 kJ / mol C  348 kJ / mol D  895 kJ / mol",2016/summer/component23/q13.png
2016,s,23,14,14  A liquid X reacts with solid Y to form a gas. 7 Which two diagrams show suitable methods for investigating the rate (speed) of the reaction? 1 3 cotton wool X Y stopper X Y balance 2 4 cotton wool X Y balance stopper X Y A  1 and 3 B  1 and 4 C  2 and 3 D  2 and 4,2016/summer/component23/q14.png
2016,s,23,15,15  Which row explains why increasing temperature increases the rate of reaction? particles collide more often particles collide with more energy A B C D [Turn over,2016/summer/component23/q15.png
2016,s,23,16,16  Methanol is manufactured by reacting carbon monoxide and hydrogen together in the presence 8 of an aluminium oxide catalyst. The equation for the reaction is shown. CO(g)  +  2H2(g) CH3OH(g) The reaction is a reversible reaction. The forward reaction is exothermic. Which change in conditions increases the yield of methanol? A  decreasing the concentration of the carbon monoxide B C D increasing the pressure increasing the rate of the reaction increasing the temperature,2016/summer/component23/q16.png
2016,s,23,17,17  Which equation represents a reduction reaction? A  Fe2+  +  e–  →  Fe3+ B  Fe2+  →  Fe3+  +  e– C  Fe3+  +  e–  →  Fe2+ D  Fe3+  →  Fe2+  +  e–,2016/summer/component23/q17.png
2016,s,23,18,18  Which statements are properties of an acid? 1 2 reacts with ammonium sulfate to form ammonia turns red litmus blue A B C D 1 2,2016/summer/component23/q18.png
2016,s,23,19,19  Which row describes whether an amphoteric oxide reacts with acids and bases? 9 A B C D reacts with acids reacts with bases no no yes yes no yes no yes,2016/summer/component23/q19.png
