year,month,component,question number,answer,text,screenshot_path
2016,m,22,1,B,1  Two gas jars are set up as shown. air lid brown gas 2 jar 1 jar 2 jar 1 jar 2 before after The lid is removed and the gas jars are left to stand. After some time the contents of both gas jars are brown. Which process causes this to happen? A  condensation B  diffusion C  evaporation D filtration,2016/march/component22/q1
2016,m,22,2,C,2  Which piece of apparatus is used to measure variable quantities of liquid in a titration? A B C D,2016/march/component22/q2
2016,m,22,3,A,3  A  sample  of  a  green  food  colouring  was  separated  into  its  component  colours  using  paper 3 chromatography. The results obtained are shown. solvent front yellow spot blue spot baseline What is the Rf value of the blue spot? A  0.45 B  0.90 C  1.10 D  2.20,2016/march/component22/q3
2016,m,22,4,C,4  In which row are the substances correctly classified? 4 A B C D element compound  mixture brass sulfur sulfur water sulfur brass water sulfur water water brass brass,2016/march/component22/q4
2016,m,22,5,A,5  Which molecule contains only single covalent bonds? A  Cl 2 B  CO2 C  N2 D  O2 [Turn over,2016/march/component22/q5
2016,m,22,6,B,6  Which structure represents the sodium chloride lattice? A 4 Na– Cl + Na– Cl + Cl + Na– Cl + Na– Na– Cl + Na– Cl + Cl + Na– Cl + Na– C – + – + + – + – + – + – – + – +,2016/march/component22/q6
2016,m,22,7,C,7  X and Y are isotopes of the same element. Which statement is correct? + – + – – + – + – + – + + – + – B D – – – – + + – + + – – + – – + + – – – + + – – + + + – – – + – – – – + – – + + – – A  X and Y have atoms with different numbers of electron shells. B  X and Y have atoms with the same nucleon number. C  X and Y have atoms with the same number of outer shell electrons. D  X and Y have different chemical properties.,2016/march/component22/q7
2016,m,22,8,D,8  Which quantities of chemicals will react exactly with no reactants left over? A  12 g of carbon and 12 g of oxygen B  12 g of carbon and 48 g of oxygen C  12 g of magnesium and 16 g of oxygen D  24 g of magnesium and 16 g of oxygen,2016/march/component22/q8
2016,m,22,9,D,9  Magnesium  nitride  is  formed  when  magnesium  burns  in  air.  Magnesium  nitride  is  an  ionic 5 compound. What is the formula of magnesium nitride? A  MgN2 B  Mg2N2 C  Mg2N3 D  Mg3N2,2016/march/component22/q9
2016,m,22,10,B,10  The electrolysis of concentrated hydrochloric acid is shown. chlorine hydrogen concentrated hydrochloric acid + – platinum electrodes Which statement describes what happens to the electrons during the electrolysis? A  They are added to chloride ions. B  They are added to hydrogen ions. C  They move through the circuit from positive to negative. D  They move through the solution from negative to positive.,2016/march/component22/q10
2016,m,22,11,B,11  Which reaction does not occur in the extraction of aluminium? A  Al 3+  +  3e–  →  Al B  2Al 2O3  +  3C  →  4Al  +  3CO2 C  2O2–  →  O2  +  4e– D  C  +  O2  →  CO2,2016/march/component22/q11
2016,m,22,12,D,12  Which substance could not be used as a fuel to heat water in a boiler? A  ethanol B  hydrogen C  methane D  oxygen [Turn over,2016/march/component22/q12
2016,m,22,13,A,13  Which row describes an endothermic reaction? 6 A B C D energy needed to break bonds / kJ energy released by forming bonds / kJ temperature 400 400 600 600 200 800 200 800 decreases decreases increases increases,2016/march/component22/q13
2016,m,22,14,D,14  A reversible reaction is shown. 2NO2(g) N2O4(g) ∆H = –58 kJ / mol Which statement about an equilibrium mixture of NO2 and N2O4 is correct? A B If the pressure is decreased the amount of N2O4 increases. If the temperature is increased the amount of N2O4 increases. C  The rates of formation and decomposition of N2O4 are not the same. D  The decomposition of N2O4 is an endothermic reaction.,2016/march/component22/q14
2016,m,22,15,B,15  Which statement about catalysts in chemical reactions is not correct? A  Catalysts are not used up in the reaction. B  Catalysts increase the energy of the reacting particles. C  Catalysts increase the rate of the reaction. D  Catalysts lower the activation energy.,2016/march/component22/q15
2016,m,22,16,B,16  Zinc is extracted from zinc blende by roasting it in air to form zinc oxide. The zinc oxide is then heated with carbon to form zinc. The equations for the reactions are shown. 1  2ZnS  +  3O2  →  2ZnO  +  2SO2 2  ZnO  +  C  →  Zn  +  CO Which statement about reactions 1 and 2 is not correct? A B C D In reaction 1 the oxidation state of sulfur increases and it is oxidised. In reaction 1 the oxidation state of zinc increases and it is oxidised. In reaction 2 the carbon acts as a reducing agent and it is oxidised. In reaction 2 the oxidation state of zinc decreases and it is reduced.,2016/march/component22/q16
2016,m,22,17,D,17  The diagram shows an energy level diagram for a reaction. 7 energy Ea The diagram shows that the reaction is ......1...... . Increasing the temperature increases the rate of reaction. A reason for this is that the ......2....... . Which words correctly complete gaps 1 and 2? A B C D 1 2 endothermic activation energy decreases endothermic collision rate increases exothermic activation energy decreases exothermic collision rate increases,2016/march/component22/q17
2016,m,22,18,D,18  Concentrated hydrochloric acid is a strong acid. What is meant by the terms ‘strong’ and ‘acid’? A B C D strong acid contains a low proportion of water accepts protons contains a low proportion of water donates protons fully ionised fully ionised accepts protons donates protons,2016/march/component22/q18
2016,m,22,19,A,19  Which oxide is amphoteric? A  aluminium oxide B  calcium oxide C  carbon monoxide D  sodium oxide [Turn over,2016/march/component22/q19
2016,m,22,20,D,20  A salt is made by adding an excess of an insoluble metal oxide to an acid. How is the excess metal oxide removed from the mixture? 8 A  chromatography B  crystallisation C  distillation D filtration,2016/march/component22/q20
2016,m,22,21,C,"21  A substance is heated with aluminium foil in aqueous sodium hydroxide. A gas is produced which turns damp, red litmus paper blue. Which anion is present in the substance? A  carbonate B iodide C  nitrate D  sulfate",2016/march/component22/q21
2016,m,22,22,C,22  An element does not conduct electricity and exists as diatomic molecules. Where in the Periodic Table is the element found? A B C D,2016/march/component22/q22
2016,m,22,23,A,"23  In  the  Periodic  Table,  how  does  the  metallic  character  of  the  elements  vary  from  left  to  right across a period? It decreases. It increases. It increases then decreases. It stays the same. A B C D",2016/march/component22/q23
2016,m,22,24,A,24  The elements in a group of the Periodic Table show the following trends. 1  The element with the lowest proton number has the lowest reactivity. 2  All the elements in the group form basic oxides. 3  The density of the elements increases down the group. 4  The melting point of the elements decreases down the group. In which group are the elements found? A I B IV C  VI D  VII,2016/march/component22/q24
2016,m,22,25,A,25  Brass is an alloy of two metals. Which row gives a correct use for the two metals from which brass is made? A B C D metal 1 metal 2 used for electrical wiring used for galvanising steel used for galvanising steel used for making aircraft used for making aircraft used for making cutlery used for making cooking pans used for electrical wiring,2016/march/component22/q25
2016,m,22,26,A,26  Iron is extracted from hematite in the blast furnace. The hematite contains silicon(IV) oxide (sand) as an impurity. What reacts with this impurity to remove it? A  calcium oxide B  carbon C  carbon dioxide D  slag,2016/march/component22/q26
2016,m,22,27,C,27  The reaction below is called the ‘thermite reaction’. 2Al  +  Fe2O3  →  2Fe  +  Al 2O3 Which pair of substances reacts in a similar way? A  Fe and MgO B  Fe and ZnO C  Mg and CuO D  Zn and Al 2O3 [Turn over,2016/march/component22/q27
2016,m,22,28,B,28  One  method  of  preventing  the  rusting  of  iron  is  to  keep  oxygen  away  from  the  surface  of  the 10 metal. Which way of rust prevention does not use this method? A  coating the iron with grease B  connecting the iron to a more reactive metal C  covering the iron with plastic D  painting the iron,2016/march/component22/q28
2016,m,22,29,D,29  The diagram shows how water is treated to make it suitable for drinking. stage 3 stage 1 stage 2 reservoir chlorination What happens in stage 2? A  condensation B  distillation C  evaporation D filtration stage 4 drinking water,2016/march/component22/q29
2016,m,22,30,B,30  Nitrogen monoxide is produced in a car engine when petrol is burnt. The gases from the car engine are passed through a catalytic converter. In  the  catalytic  converter  the  nitrogen  monoxide  reacts  with  carbon  monoxide  to  form  nitrogen and carbon dioxide. Which statement is not correct? A  Carbon monoxide is oxidised in the catalytic converter. B  Carbon monoxide is produced by the complete combustion of petrol. C  Nitrogen monoxide is formed by the reaction of nitrogen and oxygen. D  Nitrogen monoxide is reduced in the catalytic converter.,2016/march/component22/q30
2016,m,22,31,C,"31  Which pollutant gas can be produced as a result of incomplete combustion of octane, C8H18? A  carbon B  carbon dioxide C  carbon monoxide D  methane",2016/march/component22/q31
2016,m,22,32,C,32  Fertilisers are used to provide three elements needed to increase the yield of crops. Which two compounds would provide all three of these elements? 11 A  ammonium nitrate and calcium phosphate B  ammonium nitrate and potassium sulfate C  potassium nitrate and calcium phosphate D  potassium nitrate and potassium sulfate,2016/march/component22/q32
2016,m,22,33,A,33  What is a property of concentrated sulfuric acid but not of dilute sulfuric acid? A B C D It is a dehydrating agent. It neutralises alkalis. It produces a white precipitate with barium nitrate. It reacts with metals to give a salt and hydrogen.,2016/march/component22/q33
2016,m,22,34,C,34  Why does a farmer put lime (calcium oxide) on the soil? to act as a fertiliser to kill pests to make the soil less acidic to make the soil less alkaline A B C D [Turn over,2016/march/component22/q34
2016,m,22,35,C,35  What is the name of fraction X? 12 petroleum A  alcohol B fuel oil C  naphtha D  paraffin,2016/march/component22/q35
2016,m,22,36,B,36  Which compounds are alkanes? fractions refinery gas gasoline X kerosene diesel oil lubricating fraction bitumen compound W X Y Z formula C4H10 C5H10 C6H12 C6H14 A  W and X B  W and Z C  X and Y D  Y and Z,2016/march/component22/q36
2016,m,22,37,C,37  The statements below are about the alcohol homologous series. The alcohols have the same ......1...... formula. 13 The alcohols have ......2...... chemical properties because they have the same ......3...... . The melting points of the alcohols ......4...... as the number of carbon atoms increases. Which words correctly complete gaps 1–4? A B C D 1 general general general molecular 2 3 4 different functional group decrease similar similar similar electronic structure increase functional group functional group increase increase,2016/march/component22/q37
