year,month,component,question number,answer,text,screenshot_path,ms_path,marks
2019.0,s,23,1.0,C,1  Which quantity can be measured directly using a micrometer screw gauge? 2 A B C D the area of a sheet of paper the mass of a sheet of paper the thickness of a sheet of paper the volume of a sheet of paper,screenshots/physics/2019/summer/component23/q1,,
2019.0,s,23,2.0,D,,,,
2019.0,s,23,3.0,D,,,,
2019.0,s,23,4.0,D,,,,
2019.0,s,23,5.0,C,,,,
2019.0,s,23,6.0,D,,,,
2019.0,s,23,7.0,D,,,,
2019.0,s,23,8.0,B,,,,
2019.0,s,23,9.0,B,,,,
2019.0,s,23,10.0,A,"10  An object is in free fall. The change in gravitational potential energy of the body depends upon its mass m, the change in height ∆h and the gravitational field strength g. What is the correct expression for the change in gravitational potential energy? A  gm∆h B gm h ∆ C hg∆ m D hm∆ g [Turn over",screenshots/physics/2019/summer/component23/q10,,
2019.0,s,23,11.0,C,11  A machine is very efficient. What does this mean? 6 A B C D It produces a large amount of power. It uses very little energy. It wastes very little energy. It works very quickly.,screenshots/physics/2019/summer/component23/q11,,
2019.0,s,23,12.0,B,"12  A box is pulled along a floor by a force of 3.0 N. The friction acting on the box is 1.0 N, as shown. box 1.0 N 3.0 N How much kinetic energy does the box gain in moving 2.0 m? A  2.0 J B  4.0 J C  6.0 J D  8.0 J",screenshots/physics/2019/summer/component23/q12,,
2019.0,s,23,13.0,C,13  The  diagram  shows  a  stone  suspended  on  a  string  under  the  surface  of  a  liquid.  The  stone experiences a pressure caused by the liquid. string liquid stone What would increase the pressure on the stone? A  decreasing the surface area of the stone B C D  using a liquid with a lower density increasing the mass of the stone lowering the stone deeper into the liquid 7,screenshots/physics/2019/summer/component23/q13,,
2019.0,s,23,14.0,D,14  Water in a beaker evaporates when it is left on a bench for a period of time. Increasing the surface area and increasing the temperature of the water each change the rate of evaporation. Which row is correct? A B C D increasing the surface area increasing the temperature rate of evaporation decreases rate of evaporation decreases rate of evaporation increases rate of evaporation increases rate of evaporation decreases rate of evaporation increases rate of evaporation decreases rate of evaporation increases,screenshots/physics/2019/summer/component23/q14,,
2019.0,s,23,15.0,A,"15  A  night  storage  heater  contains  a  large  block  of  material  that  is  heated  electrically  during  the night. During the day the block cools down, releasing thermal energy into the room. Which thermal capacity and which night-time temperature increase will cause the most energy to be stored by the block? A B C D thermal capacity of block night-time temperature increase large large small small large small large small",screenshots/physics/2019/summer/component23/q15,,
2019.0,s,23,16.0,B,16  100 g of water at 25 °C is poured into an insulating cup. 50 g of ice at 0 °C is added to the water. The water is stirred until the temperature of the water has fallen to 0 °C. 18 g of ice remains unmelted. The specific heat capacity of water is 4.2 J / g °C. Which value does this experiment give for the specific latent heat of fusion of ice? A  210 J / g B  330 J / g C  580 J / g D  770 J / g [Turn over,screenshots/physics/2019/summer/component23/q16,,
2019.0,s,23,17.0,D,,,,
2019.0,s,23,18.0,B,,,,
2019.0,s,23,19.0,C,19  When water waves pass through a gap they diffract. The diagrams show wavefronts approaching a narrow gap. In which diagram will the diffraction be least? A B C D,screenshots/physics/2019/summer/component23/q19,,
2019.0,s,23,20.0,A,20  Sound travels through air at a speed of 340 m / s. A source generates sound waves at a frequency of 1.2 kHz. What is the wavelength of the sound waves? A  0.28 m B  3.5 m C  280 m D  410 m 9,screenshots/physics/2019/summer/component23/q20,,
2019.0,s,23,21.0,D,21  Which conditions are necessary for light to be totally internally reflected? A B C D the incident light is in angle of incidence the less dense medium the less dense medium the more dense medium the more dense medium less than the critical angle greater than the critical angle less than the critical angle greater than the critical angle,screenshots/physics/2019/summer/component23/q21,,
2019.0,s,23,22.0,B,22  A beam of light passes through a vacuum and then enters a liquid. The diagram shows the path it takes. 40° vacuum liquid 25° The light travels through the vacuum at a speed of 3.0 × 108 m / s. What is the speed of light in the liquid? m / s m / s A  1.9 × 108 B  2.0 × 108 C  4.6 × 108 D  4.8 × 108 m / s m / s,screenshots/physics/2019/summer/component23/q22,,
2019.0,s,23,23.0,D,"23  An eclipse of the Sun happens when the Moon comes between the Earth and the Sun. Which statement is correct? A Infra-red radiation from the Sun disappears before visible light and ultra-violet radiation. B  Ultra-violet radiation from the Sun disappears before visible light and infra-red radiation. C  Visible light from the Sun disappears before ultra-violet radiation and infra-red radiation. D Infra-red  radiation,  ultra-violet  radiation  and  visible  light  from  the  Sun  all  disappear  at  the same moment. [Turn over",screenshots/physics/2019/summer/component23/q23,,
2019.0,s,23,24.0,B,24  A pulse of sound is produced at the bottom of a boat. The sound travels through the water and is reflected from a shoal of fish. The sound reaches the boat again after 1.2 s. The speed of sound in the water is 1500 m / s. 10 boat D  3600 m shoal of fish How far below the bottom of the boat is the shoal of fish? A  450 m B  900 m C  1800 m,screenshots/physics/2019/summer/component23/q24,,
