year,month,component,question number,text,screenshot_path,ms_path,marks
2016.0,m,42,1.0,"DC (ST/SG) 107601/3 [Turn over 1  A driving instructor gives a student a sudden order to stop the car in the shortest possible time. Fig. 1.1 shows the speed-time graph of the motion of the car from the moment the order is given. 2 speed m / s 30 20 10 0 0 1.0 2.0 3.0 4.0 time t  / s 5.0 Fig. 1.1 (a)  The order to stop is given at time t = 0 s. (i)  State the speed of the car at t = 0 s. speed =  ...........................................................[1] (ii)  Suggest why the car continues to travel at this speed for 0.9 s. ........................................................................................................................................... .......................................................................................................................................[1] (b)  Calculate (i) the deceleration of the car between t = 0.9 s and t = 4.0 s, (ii) the total distance travelled by the car from t = 0 s. deceleration =  ...........................................................[2] distance =  ...........................................................[3] 3 (c)  Describe and explain a danger to a driver of not wearing a safety belt during a sudden stop. ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ...............................................................................................................................................[2]",screenshots/2016/march/component42/q1,marking_schemes/2016/march/component42/q1,9.0
2016.0,m,42,2.0,[Turn over 2 Fig. 2.1 shows a hammer being used to drive a nail into a piece of wood. 4 hammer head nail wood The mass of the hammer head is 0.15 kg. The speed of the hammer head when it hits the nail is 8.0 m / s. The time for which the hammer head is in contact with the nail is 0.0015 s. Fig. 2.1 The hammer head stops after hitting the nail. (a)  Calculate the change in momentum of the hammer head. (b)  State the impulse given to the nail. change in momentum =  ...........................................................[2] (c)  Calculate the average force between the hammer and the nail. impulse =  ...........................................................[1] average force =  ...........................................................[2],screenshots/2016/march/component42/q2,marking_schemes/2016/march/component42/q2,5.0
2016.0,m,42,3.0,"3 (a)  (i)  On Fig. 3.1, draw a graph of extension against load for a spring which obeys Hooke’s law. [1] 5 extension 0 0 load Fig. 3.1 (ii)  State the word used to describe the energy stored in a spring that has been stretched or compressed. .......................................................................................................................................[1] (b)  Fig. 3.2 shows a model train, travelling at speed v, approaching a buffer. model train Fig. 3.2 buffer spring The train, of mass 2.5 kg, is stopped by compressing a spring in the buffer. After the train has stopped, the energy stored in the spring is 0.48 J. Calculate the initial speed v of the train. v =  ...........................................................[4]",screenshots/2016/march/component42/q3,marking_schemes/2016/march/component42/q3,6.0
2016.0,m,42,4.0,"[Turn over 4 (a)  The source of solar energy is the Sun. 6 Tick the box next to those resources for which the Sun is also the source of energy. coal geothermal hydroelectric nuclear wind [2] (b)  Fig. 4.1 shows a solar water-heating panel on the roof of a house. copper tubes, painted black roof Fig. 4.1 Cold water flows into the copper tubes, which are heated by solar radiation. Hot water flows out of the tubes and is stored in a tank. (i)  Explain why the tubes are made of copper and are painted black. ........................................................................................................................................... ........................................................................................................................................... .......................................................................................................................................[2] (ii) In 5.0 s, 0.019 kg of water flows through the tubes. The temperature of the water increases from 20 °C to 72 °C. The specific heat capacity of water is 4200 J / (kg °C). Calculate the thermal energy gained by the water in 5.0 s. thermal energy =  ...........................................................[3] (iii)  The efficiency of the solar panel is 70%. 7 Calculate the power of the solar radiation incident on the panel. power =  ...........................................................[2]",screenshots/2016/march/component42/q4,marking_schemes/2016/march/component42/q4,9.0
2016.0,m,42,5.0,"[Turn over 5 (a)  A student carries out an experiment to find the relationship between the pressure p and the volume V of a fixed mass of gas. The table contains four of her sets of measurements. 8 p / kPa V / cm3 250 30.0 500 15.2 750 9.8 1000 7.6 (i)  Use  the  data  in  the  table  to  suggest  the  relationship  between  the  pressure  and  the volume in this experiment. Explain how you reach your conclusion. ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... .......................................................................................................................................[2] (ii)  State  the  property  of  the  gas,  apart  from  the  mass,  that  remains  constant  during  the experiment. .......................................................................................................................................[1] (b)  A lake is 5.0 m deep. The density of the water is 1000 kg / m3. (i)  Calculate the pressure at the bottom of the lake due to this depth of water. pressure =  ...........................................................[2] (ii)  A bubble of gas escapes from the mud at the bottom of the lake and rises to the surface. Place one tick in each row of the table to indicate what happens to the volume, the mass and the density of the gas in the bubble. Assume that no gas or water vapour enters or leaves the bubble. increases stays the same decreases volume of bubble mass of gas in bubble density of gas in bubble [2]",screenshots/2016/march/component42/q5,marking_schemes/2016/march/component42/q5,7.0
2016.0,m,42,6.0,"6 (a)  Fig. 6.1 represents the waveform of a sound wave. The wave is travelling at constant speed. 9 displacement of particles distance along wave (i)  On Fig. 6.1, Fig. 6.1 1. 2. label  with  the  letter  X  the  marked  distance  corresponding  to  the  amplitude  of  the wave, [1] label with the letter Y the marked distance corresponding to the wavelength of the wave. [1] (ii)   State what happens to the amplitude and the wavelength of the wave if 1. the loudness of the sound is increased at constant pitch, amplitude  ................................................................................................................... wavelength  ................................................................................................................. [1] 2. the pitch of the sound is increased at constant loudness. amplitude  ................................................................................................................... wavelength  ................................................................................................................. [1] (b)  A ship uses pulses of sound to measure the depth of the sea beneath the ship. A sound pulse is transmitted into the sea and the echo from the sea-bed is received after 54 ms. The speed of sound in seawater is 1500 m / s. Calculate the depth of the sea beneath the ship. depth =  ...........................................................[3]",screenshots/2016/march/component42/q6,marking_schemes/2016/march/component42/q6,7.0
2016.0,m,42,7.0,"[Turn over 7 (a)  Explain what is meant by 10 (i) total internal reflection, ........................................................................................................................................... .......................................................................................................................................[1] (ii)  critical angle. ........................................................................................................................................... .......................................................................................................................................[1] (b)  Fig. 7.1 shows a ray of light, travelling in air, incident on a glass prism. 60° 30° Fig. 7.1 (i)  The speed of light in air is 3.0 × 108 m / s. Its speed in the glass is 2.0 × 108 m / s. Calculate the refractive index of the glass. refractive index =  ...........................................................[2] (ii)  Show that the critical angle for the glass-air boundary is 42°. 11 (iii)  On Fig. 7.1, draw carefully, without calculation, the continuation of the ray through the [3] prism and into the air.",screenshots/2016/march/component42/q7,marking_schemes/2016/march/component42/q7,8.0
2016.0,m,42,8.0,"[1] [Turn over 8 (a)  Fig. 8.1 shows 3 lamps and a fuse connected to a power supply. 12 220 V Fig. 8.1 The e.m.f. of the supply is 220 V. Each lamp is labelled 220 V, 40 W. The rating of the fuse is 2.0 A. Calculate (i) the current in each lamp, (ii) the current in the fuse, current =  ...........................................................[2] (iii) the  total  number  of  lamps,  all  in  parallel,  that  could  be  connected  without  blowing  the fuse. current =  ...........................................................[1] number =  ...........................................................[2] 13 (b)  After a very long period of use, the wire filament of one of the lamps becomes thinner. (i)  Underline the effect of this change on the resistance of the filament. resistance increases resistance remains the same resistance decreases [1] (ii)  State and explain the effect of this change on the power of the lamp. ........................................................................................................................................... ........................................................................................................................................... .......................................................................................................................................[2]",screenshots/2016/march/component42/q8,marking_schemes/2016/march/component42/q8,8.0
2016.0,m,42,9.0,"[Turn over 9 (a)  (i)  State what is meant by the direction of an electric field. 14 ........................................................................................................................................... .......................................................................................................................................[1] (ii)  Fig.  9.1  shows  a  pair  of  oppositely-charged  horizontal  metal  plates  with  the  top  plate positive. + + + + + + + + + + + + + – – – – – – – – – – – – – Fig. 9.1 The electric field between the plates in Fig. 9.1 is uniform. Draw lines on Fig. 9.1 to represent this uniform field. Add arrows to these lines to show [3] the direction of the field. (b)  Fig. 9.2 shows a very small negatively-charged oil drop in the air between a pair of oppositely charged horizontal metal plates. The oil drop does not move up or down. oil drop – Fig. 9.2 (i)  Suggest, in terms of forces, why the oil drop does not move up or down. ........................................................................................................................................... .......................................................................................................................................[2] (ii)  Without losing any of its charge, the oil drop begins to evaporate. State and explain what happens to the oil drop. ........................................................................................................................................... .......................................................................................................................................[2]",screenshots/2016/march/component42/q9,marking_schemes/2016/march/component42/q9,8.0
2016.0,m,42,10.0,"10 (a)  An iodine isotope 131 53 I decays by β-emission to an isotope of xenon (Xe). 15 (i)  State the number of each type of particle in a neutral atom of 131 I. 53 protons ......................... neutrons ......................... electrons .........................   [2] (ii)  State the symbol, in nuclide notation, for the xenon nucleus. .......................................................................................................................................[2] (b)  The background count rate of radioactivity in a laboratory is 30 counts / min. A radioactive sample has a half-life of 50 minutes. The sample is placed at a fixed distance from  a  detector.  The  detector  measures  an  initial  count  rate  from  the  sample,  including background, of 310 counts / min. On  Fig. 10.1,  plot  suitable  points  and  draw  a  graph  of  the  count  rate  from  the  sample, corrected for background, as it changes with time. 300 corrected count rate counts / min 200 100 0 0 20 40 60 80 100 120 140 160 Fig. 10.1 time / min [3]",screenshots/2016/march/component42/q10,marking_schemes/2016/march/component42/q10,7.0
