year,month,component,question number,text,screenshot_path
2016,m,22,1,1  The diameter of a copper wire is thought to be approximately 0.3 mm. Which instrument should be used to obtain a more accurate measurement of the diameter of the wire? A  measuring tape B  metre rule C  micrometer D ruler,screenshots/physics/2016/march/component22/q1
2016,m,22,2,2  Which is a unit of acceleration? A  g / cm3 B  m / s C  m / s2 D  N / m,screenshots/physics/2016/march/component22/q2
2016,m,22,3,"3  An  object  is  released  from  rest  and  falls  to  Earth.  During  its  fall,  the  object  is  affected  by  air resistance. The air resistance eventually reaches a constant value. Which description about successive stages of the motion of the object is correct? A  constant acceleration, then constant deceleration B  constant deceleration, then zero acceleration C  decreasing acceleration, then constant deceleration D  decreasing acceleration, then zero acceleration",screenshots/physics/2016/march/component22/q3
2016,m,22,4,"4  A concrete post is carried up a very high mountain. At the top of the mountain, the gravitational field is slightly weaker than at the bottom. What is the effect of this weaker field on the mass and on the weight of the post at the top of the mountain? A B C D mass is less is less weight is less is unchanged is unchanged is less is unchanged is unchanged",screenshots/physics/2016/march/component22/q4
2016,m,22,5,5  The diagram shows a cuboid block made from a metal of density 2.5 g / cm3. 3 2.0 cm 10 cm What is the mass of the block? 2.0 cm A  8.0 g B  16 g C  50 g D  100 g,screenshots/physics/2016/march/component22/q5
2016,m,22,6,"6  The  diagram  shows  an  object  moving  at  a  constant  speed  in  a  circular  path  in  the  direction shown. A force acts on the object to keep it in the circular path. In which labelled direction does this force act, when the object is in the position shown? object D A C B path of object [Turn over",screenshots/physics/2016/march/component22/q6
2016,m,22,7,7  A spring obeys Hooke’s law. Which graph is obtained by plotting the extension of the spring against the load applied? 4 extension 0 0 A C extension load 0 0 extension extension B D load 0 0 load 0 0 load,screenshots/physics/2016/march/component22/q7
2016,m,22,8,"8  Which is the value of a vector quantity? A  200 V B  100 kg / m3 C  20 m / s, east D  50 J / (kg °C)",screenshots/physics/2016/march/component22/q8
2016,m,22,9,9  The table gives four energy sources and states whether the energy of the source is derived from the Sun. Which row is correct? A B geothermal oil source of energy derived from the Sun C  water held behind a dam D wind yes no yes no 5,screenshots/physics/2016/march/component22/q9
2016,m,22,10,10  A weight-lifter raises a 2000 N weight through a vertical height of 2.0 m in 0.80 s. What useful power does he develop in doing this? A  800 W B  3200 W C  4000 W D  5000 W,screenshots/physics/2016/march/component22/q10
2016,m,22,11,11  A wind turbine generates 54 kW of useful power from an input of 180 kW of wind power. Which calculation gives the percentage efficiency of the turbine? A B C D 54 000 180,screenshots/physics/2016/march/component22/q11
2016,m,22,13,13  Identical toy bricks are placed one on top of another to make a tower on a table. 6 bricks table tower of bricks Which  graph  shows  the  relationship  between  the  pressure  P  that  the  tower  exerts  on  the  table and the weight W of the tower? A B C D P P 0 0 P 0 0 W P 0 0 W W 0 0 W,screenshots/physics/2016/march/component22/q13
2016,m,22,14,"14  Gases can be compressed, but liquids cannot. Which statement explains this difference? A  Each molecule in a gas is more compressible than each molecule in a liquid. B  Molecules in a gas are further apart than molecules in a liquid. C  Molecules in a gas attract each other more strongly than molecules in a liquid. D  Molecules in a gas move more slowly than molecules in a liquid.",screenshots/physics/2016/march/component22/q14
2016,m,22,15,15  The diagram shows a quantity of gas trapped in a cylinder. The piston is pushed in slowly and the gas is compressed. The temperature of the gas does not change. 7 gas piston pushed in Which graph shows the relationship between the pressure and the volume of the gas? piston pressure 0 0 pressure volume 0 0 A C B D pressure pressure volume volume 0 0 volume 0 0,screenshots/physics/2016/march/component22/q15
2016,m,22,16,16  Which quantity gives the thermal capacity of a solid object? the energy lost by radiation from the object in 1.0 s the energy needed to melt the object the energy needed to raise the temperature of the object by 1.0 °C the total amount of thermal energy in the object A B C D [Turn over 8,screenshots/physics/2016/march/component22/q16
2016,m,22,17,"17  To mark a temperature scale on a thermometer, standard temperatures known as fixed points are needed. Which of these is a fixed point on the Celsius scale? A B C D room temperature the temperature inside a freezer the temperature of pure melting ice the temperature of pure warm water",screenshots/physics/2016/march/component22/q17
2016,m,22,18,"18  In an experiment, a liquid is heated at a constant rate. The temperature of the liquid increases and eventually becomes constant. Which statement about the experiment is correct? A  Boiling occurs at all temperatures but only on the liquid surface. B  Boiling occurs throughout the liquid but only at the constant temperature. C  Evaporation occurs throughout the liquid and at all temperatures. D  Evaporation occurs only at the constant temperature and only on the liquid surface.",screenshots/physics/2016/march/component22/q18
2016,m,22,19,19  One end of a copper rod is heated. What is one method by which thermal energy is transferred in the copper rod? A  Free electrons transfer energy from the cooler end to the hotter end. B  Free electrons transfer energy from the hotter end to the cooler end. C  Molecules of copper move from the cooler end to the hotter end. D  Molecules of copper move from the hotter end to the cooler end. 9,screenshots/physics/2016/march/component22/q19
2016,m,22,20,"20  Two plastic cups are placed one inside the other. A small spacer keeps the two cups separated. Hot water is poured into the inner cup and a lid is put on top, as shown. lid hot water small spacer small air gap bench Which statement is correct? A  The bench is heated by convection from the bottom of the outer cup. B  The lid reduces the energy lost by convection. C  There is no thermal conduction through the sides of either cup. D  Thermal radiation is prevented by the small air gap.",screenshots/physics/2016/march/component22/q20
2016,m,22,21,21  Which is a unit of wavelength? A  hertz B  metre C  metre per second D  second [Turn over,screenshots/physics/2016/march/component22/q21
2016,m,22,22,22  Which diagram correctly shows a ray of light reflected by a plane mirror? B A 10 ray of light 40° 50° ray of light 50° 50° C D ray of light 40° 40° ray of light 50° 40°,screenshots/physics/2016/march/component22/q22
2016,m,22,23,23  Which diagram shows how a converging lens is used as a magnifying glass? 11 object F image F lens lens lens lens F F F image F object F object object F image image A B C D [Turn over,screenshots/physics/2016/march/component22/q23
2016,m,22,24,"24  A sound wave travels from a point X to a point Y. 12 X Y Which  diagram  represents  the  movement  of  the  air  molecules,  due  to  the  sound  wave,  in  the region between X and Y? A B C D",screenshots/physics/2016/march/component22/q24
2016,m,22,25,25  The speed of sound in air is 340 m / s. Which row gives typical values for the speed of sound in a liquid and in a solid? A B C D speed of sound in speed of sound in a liquid / (m / s) a solid / (m / s) 250 250 1500 1500 180 5000 180 5000,screenshots/physics/2016/march/component22/q25
2016,m,22,26,26  In which pair are both materials magnetic? A  aluminium and copper B  copper and iron C iron and steel D  steel and aluminium,screenshots/physics/2016/march/component22/q26
2016,m,22,27,"27  Which methods could be used to demagnetise a magnet? method 1: place it in an east-west direction and hammer it method 2: place it in an east-west direction and heat it until it is red hot method 3: pull it slowly from a coil that is carrying an alternating current method 4: put it slowly into a coil that is carrying a direct current A  methods 1, 2 and 3 B  methods 2, 3 and 4 C  methods 1 and 2 only D  methods 3 and 4 only",screenshots/physics/2016/march/component22/q27
2016,m,22,28,28  Which produces an electromotive force (e.m.f.)? 13 A  a battery B  a filament lamp C  a resistor D  a spring balance,screenshots/physics/2016/march/component22/q28
2016,m,22,29,29  The table describes four different resistance wires. They are all made from the same metal. Which wire has the smallest resistance? A B C D length of wire / m diameter of wire / mm 2.0 2.0 3.0 3.0 1.0 1.5 1.0 1.5,screenshots/physics/2016/march/component22/q29
2016,m,22,30,30  Which circuit shows the directions of the conventional current I and the flow of electrons? A B I I electrons I electrons C D electrons I electrons [Turn over,screenshots/physics/2016/march/component22/q30
2016,m,22,31,31  Four lamps are each labelled 240 V. In which circuit do all four lamps have normal brightness? 14 240 V A C 240 V B D 240 V 240 V,screenshots/physics/2016/march/component22/q31
2016,m,22,32,32  A  battery  charger  plugs  into  a  230 V a.c.  supply.  The  charger  is  used  to  charge  a  6.0 V d.c. battery. The charger contains diodes and a transformer. What is the purpose of these components? A B C D diodes transformer rectify the a.c. steps down the voltage rectify the a.c. steps up the voltage step down the voltage rectifies the a.c. step up the voltage rectifies the a.c.,screenshots/physics/2016/march/component22/q32
2016,m,22,33,33  The diagram shows a potential divider connected to two voltmeters P and Q. 15 V voltmeter P V voltmeter Q The resistance of the variable resistor is decreased. Which row shows what happens to the reading on each voltmeter? A B C D reading on voltmeter P reading on voltmeter Q decreases decreases decreases increases increases decreases increases increases,screenshots/physics/2016/march/component22/q33
2016,m,22,34,"34  After some building work in a house, a bare (uninsulated) live wire is left protruding from a wall. What is the greatest hazard? A  a fire B  a fuse blows C  an electric shock D  no current flows [Turn over",screenshots/physics/2016/march/component22/q34
2016,m,22,35,35  An electron moves into a uniform magnetic field. The arrow shows the initial direction of motion of the electron. 16 The direction of the magnetic field is into the plane of the page (away from you). electron uniform magnetic field In which direction does a force act on the electron when it enters the magnetic field? A into the page B  out of the page C D towards the bottom of the page towards the top of the page,screenshots/physics/2016/march/component22/q35
2016,m,22,36,"36  The diagram shows an a.c. generator. coil N rotation of coil S output voltage As the coil passes through the position shown, the output voltage is +10 V. When does the output voltage become –10 V? A  when the coil has turned through 90° B  when the coil has turned through 180° C  when the coil has turned through 270° D  when the coil has turned through 360°",screenshots/physics/2016/march/component22/q36
2016,m,22,37,37  The scattering of α-particles by a thin metal foil supports the nuclear model of an atom. Why are α-particles used rather than neutrons? 17 A  because they always travel more slowly B  because they are heavier C  because they are larger in diameter D  because they have a positive charge,screenshots/physics/2016/march/component22/q37
2016,m,22,38,38  A nucleus of a radioactive substance 218 84 Po undergoes an α-decay followed by a β-decay. What  are  the  nucleon  (mass)  number  and  proton  (atomic)  number  of  the  nuclide  formed  after both decays have happened? nucleon number proton number A B C D 214 216 214 216 85 85 83 83,screenshots/physics/2016/march/component22/q38
2016,m,22,39,39  A scientist carries out an experiment using a sealed source which emits β-particles. The range of the β-particles in the air is about 30 cm. Which precaution is the most effective to protect the scientist from the radiation? A  handling the source with long tongs B  keeping the temperature of the source low C  opening all windows in the laboratory D  washing his hands before leaving the laboratory,screenshots/physics/2016/march/component22/q39
2016,m,22,40,40  Which row describes the nature of α-particles and of γ-rays? A B C D α-particles γ-rays helium nuclei electromagnetic radiation helium nuclei electrons protons protons electromagnetic radiation electrons 18,screenshots/physics/2016/march/component22/q40
2016,m,22,100,100  000 × % 180 000 54 100  000 × 54 100  000 × 180 000 % % 180 100  000 × 54 000 % 12  A force acts on an area to produce a pressure. Which changes produce the same pressure? A  double the area and double the force B  double the area and halve the force C  double the area and make the force four times bigger D  halve the area and double the force [Turn over,screenshots/physics/2016/march/component22/q100
2016,s,21,1,1  The diagram shows an enlarged drawing of the end of a metre rule. It is being used to measure the length of a small feather. 2 mm cm 1 0 1 2 0 2 3 0 3 What is the length of the feather? A  19 mm B  29 mm C  19 cm D  29 cm,screenshots/physics/2016/summer/component21/q1
2016,s,21,2,2  The speed-time graph shown is for a car moving in a straight line. speed m / s 15 10 5 0 0 20 40 60 80 time / s What is the acceleration of the car when the time is 40 s? A  0 m / s2 B 3 15 − m / s2 04 C 15 04 m / s2 D (15 – 3) m / s2,screenshots/physics/2016/summer/component21/q2
2016,s,21,3,3  Two runners take part in a race. The graph shows how the speed of each runner changes with time. 3 speed runner 1 runner 2 0 0 t time What does the graph show about the runners at time t ? A  Both runners are moving at the same speed. B  Runner 1 has zero acceleration. C  Runner 1 is overtaking runner 2. D  Runner 2 is slowing down.,screenshots/physics/2016/summer/component21/q3
2016,s,21,4,4  A satellite orbits the Earth above the atmosphere at a constant speed. The diagram shows the satellite at one point in its circular orbit around the Earth. Which  labelled  arrow  shows  the  direction  of  the  resultant  force  on  the  satellite  at  the  position shown? direction of rotation of satellite Earth D A C B satellite [Turn over,screenshots/physics/2016/summer/component21/q4
2016,s,21,5,5  A cup contains hot liquid. Some of the liquid evaporates. 4 What happens to the mass and what happens to the weight of the liquid in the cup? A B C D mass weight decreases decreases decreases stays the same stays the same decreases stays the same stays the same,screenshots/physics/2016/summer/component21/q5
2016,s,21,6,"6  The diagrams show three uniform beams P, Q and R, each pivoted at its centre. The two forces acting on each beam are also shown. P Q R 2.0 m 1.0 m 4.0 N 4.0 m 4.0 N 2.0 m 2.0 N 5.0 N 4.0 m 2.0 m 1.5 N 1.0 N Which beams rotate clockwise? A  P and Q only B  P and R only C  Q and R only D  P, Q and R 5",screenshots/physics/2016/summer/component21/q6
2016,s,21,7,7  An object of mass 50 kg accelerates from a velocity of 2.0 m / s to a velocity of 10 m / s in the same direction. What is the impulse provided to cause this acceleration? A  250 N s B  400 N s C  850 N s D  2500 N s,screenshots/physics/2016/summer/component21/q7
2016,s,21,8,8  A scalar quantity has A  magnitude and direction. B  no magnitude and no direction. C  magnitude but no direction. D  direction but no magnitude.,screenshots/physics/2016/summer/component21/q8
