year,month,component,question number,answer
2019,s,23,1,C
2019,s,23,2,D
2019,s,23,3,D
2019,s,23,4,D
2019,s,23,5,C
2019,s,23,6,D
2019,s,23,7,D
2019,s,23,8,B
2019,s,23,9,B
2019,s,23,10,A
2019,s,23,11,C
2019,s,23,12,B
2019,s,23,13,C
2019,s,23,14,D
2019,s,23,15,A
2019,s,23,16,B
2019,s,23,17,D
2019,s,23,18,B
2019,s,23,19,C
2019,s,23,20,A
2019,s,23,21,D
2019,s,23,22,B
2019,s,23,23,D
2019,s,23,24,B
2019,s,23,25,A
2019,s,23,26,B
2019,s,23,27,D
2019,s,23,28,B
2019,s,23,29,C
2019,s,23,30,C
2019,s,23,31,B
2019,s,23,32,C
2019,s,23,33,C
2019,s,23,34,B
2019,s,23,35,C
2019,s,23,36,C
2019,s,23,37,A
2019,s,23,38,D
2019,s,23,39,B
2019,s,23,40,A
2019,s,22,1,C
2019,s,22,2,C
2019,s,22,3,D
2019,s,22,4,D
2019,s,22,5,C
2019,s,22,6,B
2019,s,22,7,B
2019,s,22,8,C
2019,s,22,9,C
2019,s,22,10,C
2019,s,22,11,A
2019,s,22,12,D
2019,s,22,13,C
2019,s,22,14,A
2019,s,22,15,A
2019,s,22,16,B
2019,s,22,17,B
2019,s,22,18,B
2019,s,22,19,D
2019,s,22,20,C
2019,s,22,21,D
2019,s,22,22,B
2019,s,22,23,D
2019,s,22,24,B
2019,s,22,25,A
2019,s,22,26,B
2019,s,22,27,D
2019,s,22,28,B
2019,s,22,29,A
2019,s,22,30,A
2019,s,22,31,B
2019,s,22,32,D
2019,s,22,33,C
2019,s,22,34,A
2019,s,22,35,D
2019,s,22,36,A
2019,s,22,37,B
2019,s,22,38,C
2019,s,22,39,B
2019,s,22,40,C
2019,s,21,1,C
2019,s,21,2,C
2019,s,21,3,D
2019,s,21,4,C
2019,s,21,5,C
2019,s,21,6,D
2019,s,21,7,D
2019,s,21,8,C
2019,s,21,9,C
2019,s,21,10,B
2019,s,21,11,C
2019,s,21,12,A
2019,s,21,13,C
2019,s,21,14,A
2019,s,21,15,A
