component,question number,text,topic
4,1,"1 (a) Fig. 1.1 shows seven species of fish that live on reefs in the Caribbean. A C E G B D F Drawings not to scale Fig. 1.1 PhysicsAndMathsTutor.comUse  the  key  to  identify  each  species.  Write  the  letter  of  each  species  (A  to  G)  in  the correct box beside the key. One has been done for you. Key 1 (a) Body  shape  is  long  and  narrow,  at  least 10 times as long as its depth (b) Body  shape  is  not  long  and  narrow,  less than 10 times long as its depth go to 2 go to 3 2 (a) Fins are pointed (b) Fins are smooth Aulostomus maculatus F Gymnothorax moringa 3 (a) Both eyes are on top of the head (b) Eyes are on either side of the head go to 4 go to 5 4 (a) Tail fin is long and thin (b) Tail fin is short Dasyatis americana Bothus ocellatus 5 (a) Fish has one or several dark spots go to 6 (b) Fish has no dark spots Epinephelus striatus 6 (a) Fish has two fins on its back Pseudupeneus maculatus (b) Fish has more than two fins on its back Chaetodon capistratus [4] PhysicsAndMathsTutor.comThe wavelengths of light that penetrate water influence the features of fish. Blue light does not penetrate far into water; red light penetrates much further. Many  different  species  of  cichlid  fish  live  in  Lake  Victoria  in  Africa.  Some  species  live  in shallow water and others live in deeper water. Table 1.2 summarises some of the features of males and females of these species. Table 1.2 habitat body colour of males retina in eyes of females shallow water deep water blue red detects blue light detects red light Body  colour  and  colour  vision  are  both  inherited  features.  Females  select  the  males  that they  mate  with  and  prefer  bright  coloured  males.  Male  and  female  eyes  of  the  same species of cichlid fish are similar. (b)  (i)  The ancestors of red and blue cichlid fish were brown. State how the different body colours of the males first happened. (ii) Suggest the advantages of different cichlid fish being able to detect blue and red light. [1] [2] PhysicsAndMathsTutor.com(c) Lake  Victoria  receives  considerable  pollution  from  the  surrounding  area  which  makes the water cloudier and reduces the penetration of blue light. Suggest and explain the likely long-term effects of the cloudy water on the red and blue cichlid fish. [4]",1. Characteristics and Classification of Living Organisms
4,3,"PhysicsAndMathsTutor.com3  Toads are amphibians. Only two species are native to Britain, the Common toad (Bufo bufo) and the Natterjack toad (Bufo calamita). Natterjack  toads  like  warm  sandy  soil  in  open  and  sunny  habitats,  with  shallow  pools  for breeding.  Examples of these habitats are heathland and sand dunes. Common toads like cooler, more shady habitats, such as woodland. Many  areas  of  sand  dunes  are  being  developed  for  camp  sites.    Heathland  can  easily change to woodland as trees grow on it. In the summer, woodland is colder than heathland due to the shade the trees create. These conditions suit the Common toad, but not the Natterjack.  As a result of the changing habitats the Natterjack toad is becoming an endangered species. (a)  (i)  Name one external feature that identifies an animal as an amphibian. (ii)  Amphibians are a class of vertebrate. Name two other vertebrate classes. 1. 2. [1] [2] (b)  State  one  piece  of  information  from  the  passage  to  show  that  the  Common  toad  and Natterjack toad are closely related species. (c)  From  the  information  provided,  state  two  reasons  why  Natterjack  toads  are  becoming [1] endangered. 1. 2. (d)  Suggest measures that could be taken to protect the Natterjack toad from extinction. [2] [2] PhysicsAndMathsTutor.comFig. 1.1 shows a food web for British toads. Natterjack toad Common toad insect larvae adult insects slugs worms snails bark flowers leaves Fig. 1.1 (e)  (i)  State the trophic level of toads. (ii)  State which foods the two species of toad both eat. [1] [1] (iii)  With  reference  only  to  food,  suggest  why  the  Common  toad  is  more  likely  to survive when the two species are in competition. [1]",1. Characteristics and Classification of Living Organisms
4,2,"PhysicsAndMathsTutor.com2 (a)  Using straight lines, match the names of the flower parts with their functions. One has been completed for you. anther petal sepal style stigma allows the passage of the pollen tube to the ovary attracts insects for pollination produces pollen grains protects the flower when in bud the surface on which the pollen lands during pollination (b)  Describe  how  the  stigmas  of  wind-pollinated  flowers  differ  from  the  stigmas  of  insect- pollinated flowers. Relate these differences to the use of wind as the pollinating agent. [4] (c)  Discuss the implications to a species of self-pollination. [3] [3]",1. Characteristics and Classification of Living Organisms
4,1,"1 Fig. 1.1A shows a buttercup, Ranunculus cymbalaria. Fig. 1.1B shows details of a flower of the same plant. A B Fig. 1.1 (a)  Explain,  using  only  features  visible  in  Fig.  1.1,  why  Ranunculus  cymbalaria  is classified as a dicotyledonous plant rather than as a monocotyledonous plant. [2] PhysicsAndMathsTutor.comFig. 1.2 shows a transverse section through a buttercup root at the end of the cold winter (W)  and  at  the  end  of  the  warm,  moist  summer  S).  At  the  end  of  the  winter,  the  cells contain  very  few  starch  grains.  At  the  end  of  the  summer,  most  of  the  root  cells  contain many starch grains. W S Fig. 1.2 (b)  Suggest  why  there  are  few  starch  grains  in  the  cells  of  W  compared  with  a  large number of starch grains in the cells of S. (c)  Describe how enzymes in root cells synthesise starch. [3] [3] PhysicsAndMathsTutor.com(d) As  temperature  is  increased,  for  example  from  10 oC  to  30 oC,  enzyme  activity increases. Explain how increasing temperature affects enzyme activity. [2]",1. Characteristics and Classification of Living Organisms
4,5,"PhysicsAndMathsTutor.com5  Fig. 1.1 shows a vertical section through a flower of soybean, Glycine max, following self-pollination. Fig. 1.2 shows part of the section at a higher magnification. stigma A Fig. 1.1 A B C Fig. 1.2 (a)a) Name the parts labelled A to C shown in Figs. 1.1 and 1.2. A B C [3] PhysicsAndMathsTutor.com(ii) Describe what happens to the structures shown in Figs. 1.1 and 1.2 to bring about fertilisation. You may refer to the structures labelled A to C by their letters if you wish. (iii) Explain the advantages and disadvantages of self-pollination for flowering plants, [3] such as soybean. advantages disadvantages (b) Soybean is a dicotyledonous plant. (i) Name the genus to which the soybean belongs. (ii) State two features which are only found in dicotyledonous plants. 1. 2. [4] [1] [2]",1. Characteristics and Classification of Living Organisms
4,4,PhysicsAndMathsTutor.com4  Fig. 6.1 shows three different insects. Vespula flavopilosa insect 1 Vespula rufa insect 2 Fig. 6.1 Callicera rufa insect 3 (a) Insects 1 and 2 are more closely related to each other than to insect 3. (i) Explain  how  the  binomial  names  indicate  that  insects  1  and  2  are  more  closely related. (ii)  Explain how the appearance of the three insects suggests that insects 1 and 2 are more closely related. [2] [2] PhysicsAndMathsTutor.comVespula flavopilosa gives a painful sting. The insect shown in Fig. 6.2 is very similar in appearance to Vespula flavopilosa but does not give a sting. Chrysotoxum cautum Fig. 6.2 (b) Chrysotoxum cautum is very similar in appearance to Vespula flavopilosa. Explain how this is an advantage. (c) It  is  thought  that  Chrysotoxum  cautum  evolved  from  an  insect  that  did  not  have  any stripes. Suggest how these insects became striped. [2] [5],1. Characteristics and Classification of Living Organisms
4,3,"PhysicsAndMathsTutor.com3  Arachnids, crustaceans, insects and myriapods are all classified as arthropods. Scorpions, such as Heterometrus swammerdami shown in Fig. 1.1, are arachnids. tail cephalothorax jaw pedipalp eyes abdomen Fig. 1.1 (a) State three features, shown by H. swammerdami and visible in Fig. 1.1, that arachnids share with other arthropods. 1 2 3 [3] PhysicsAndMathsTutor.com(b) Fig. 1.2 shows seven species of arachnid. A D B C F not to scale E G Fig. 1.2 PhysicsAndMathsTutor.comUse the key to identify each species. Write the letter of each species (A to G) in the correct box beside the key. One has been done for you. Key 1 (a)  Abdomen with a tail Abaliella dicranotarsalis E (b)  Abdomen without a tail 2 (a) (b) Legs much longer than abdomen and cephalothorax Legs not much longer than abdomen and cephalothorax go to 2 go to 3 go to 4 3 (a)  Hairs on the legs Tegenaria domestica (b)  No hairs on the legs Odielus spinosus 4 (a)  Cephalothorax or abdomen segmented Chelifer tuberculatus (b)  Cephalothorax and abdomen not segmented go to 5 5 (a) Abdomen and cephalothorax about the same size Poecilotheria regalis (b)  Abdomen larger than cephalothorax go to 6 6 (a)  Body covered in long hairs Tyroglyphus longior (b)  Body not covered in hairs Ixodes hexagonus [4]",1. Characteristics and Classification of Living Organisms
4,2,"PhysicsAndMathsTutor.com2  Crabs are classified, along with prawns, shrimps and lobsters, as crustaceans. Most crabs live in the sea, although some live in freshwater and there are a few land-dwelling crabs. Fig. 1.1 shows the structure of a typical crab. carapace cheliped / claw eye walking legs abdomen, often tucked beneath the rest of the body Fig. 1.1 (a) State  the  group  of  animals  that  includes  crustaceans,  insects,  arachnids  and myriapods. [1] PhysicsAndMathsTutor.comFig. 1.2 shows four different species of crab. A  spiny spider crab Maia squinado B  hairy hermit crab Pagurus hirsutiusculus C  West African fiddler crab Uca tangeri D  sand crab Portunus pelagicus Fig. 1.2 PhysicsAndMathsTutor.com(b) Biologists use dichotomous keys to identify different species. Use Fig. 1.1 and Fig. 1.2 to state one visible feature of each species of crab A, B, C and D, that could be used in a dichotomous key to identify crabs. A B C D (c) Crabs show variation in many features. (i) State one feature of crabs that shows continuous variation. (ii)  Describe how you would measure variation in the feature you have given in (i). [4] [1] [1] PhysicsAndMathsTutor.com(d) Crabs produce huge numbers of offspring, but their populations remain fairly constant from year to year. Explain why. (e) Emergency medical packs contain bandages made from chitosan. Chitosan  comes  from  the  exoskeleton  of  crustaceans  and  has  a  positive  charge  to attract red blood cells. It helps blood clot quickly and also has antibacterial properties. Explain the benefits of using bandages made from chitosan. [3] [3]",1. Characteristics and Classification of Living Organisms
4,1,"11 (a Table 1.1 shows some features of the five groups of vertebrates. Complete  Table  1.1  to  compare  the  five  groups  of  vertebrates  using  a  tick  ((cid:1))  to indicate if the group shows the feature, or a cross ((cid:2)) if not. The first row has been completed for you. scaly skin Table 1.1 external ear (pinna) feathers feathers glands (cid:1) (cid:2) (cid:1) (cid:2) group of vertebrates birds bony fish amphibians reptiles mammals Fig. 1.1 shows a southern cassowary, Casuarius casuarius, which is a large bird that cannot fly. It lives in rainforests in northern Australia and southern New Guinea. The cassowary feeds on fruits and helps to disperse seeds for many tree species, such as the cassowary plum. [4] (b) Suggest why the cassowary can digest the fruit but not the seeds of rainforest trees. Fig. 1.1 [2] PhysicsAndMathsTutor.com(c) Describe one method of seed dispersal that does not require animals. (d) State two environmental conditions that seeds require so that they can germinate. 1. 2. [2] [2] (e) Cassowaries  are  an  endangered  species.  Many  are  killed  on  the  roads  and development threatens their rainforest habitat. Cassowaries,  as  with  many  other  rainforest  species,  cannot  survive  in  small  nature reserves. Suggest why species, such as cassowaries, cannot survive in small nature reserves. [3]",1. Characteristics and Classification of Living Organisms
4,4,"PhysicsAndMathsTutor.com4 Fig. 1.1 shows seven lizards that are at risk of becoming extinct. C A G E D B F PhysicsAndMathsTutor.com(a)  (i)   Name the vertebrate group that contains lizards. .......................................................................................................................................[1] (ii)  Use  the  key  to  identify  each  species. Write  the  letter  of  each  species  (A  to  G)  in  the correct box beside the key. One has been done for you. key 1 (a) feet with three toes (b) feet with five toes 2 (a)   has a collar or crest on head go to 2 go to 3 go to 4 (b) has no collar or crest on head Chalcides minutus 3 (a)   spikes along back (b) no spikes along back go to 5 go to 6 4 (a)   ridges extend along back and tail Brookesia perarmata (b) no ridges along back or tail Calumma parsonii 5 (a)   blunt, rounded head Amblyrhynchus cristatus (b) elongated head Cyclura lewisi 6 (a)   large raised scales on skin Abronia graminea (b) scales on skin are not large or raised Varanus komodoensis D [3] (b)  The effect of humans on the environment has caused the populations of the lizard species in Fig. 1.1 to decrease. Explain why conserving lizards is important. ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ...............................................................................................................................................[3] PhysicsAndMathsTutor.com(c)  Zookeepers  report  that  isolated  female  Komodo  dragons,  Varanus  komodoensis,  have produced offspring asexually. This is very unusual in vertebrates. (i)  State two disadvantages of asexual reproduction. ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... .......................................................................................................................................[2] (ii)  State two disadvantages of sexual reproduction. ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... .......................................................................................................................................[2] (d)  Sexual reproduction requires meiosis to occur. (i)  Define the term meiosis. ........................................................................................................................................... ........................................................................................................................................... .......................................................................................................................................[2] (ii)  Explain the significance of meiosis to the survival of endangered species of lizards. ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... .......................................................................................................................................[3]",1. Characteristics and Classification of Living Organisms
