component,question number,text,topic
21,4,4  What is the approximate percentage of oxygen in expired air? A  0.04% B  4% C  16% D  21%,1. Characteristics and Classification of Living Organisms
21,42,42 The diagram shows an animal. Use the key to identify the animal. 1  wings present  ........................................   go to 2 wings absent  .........................................   go to 3 2  one pair of wings visible  ........................   A two pairs of wings visible  .......................   B 3 three pairs of legs  ..................................   C four pairs of legs  ....................................   D PhysicsAndMathsTutor.com43  Growth is a characteristic feature of living organisms. Which process provides the energy for growth? A  excretion B  movement C respiration D  sensitivity,1. Characteristics and Classification of Living Organisms
21,44,44  The  table  shows  the  number  of  animals  collected  in  a  sample  from  some  woodland  and  the groups to which they belong. How many arthropods were collected? A  33 B  97 C  120 D  160 PhysicsAndMathsTutor.com45  Which process provides the raw materials needed for tissue repair? A  excretion B  growth C  nutrition D respiration,1. Characteristics and Classification of Living Organisms
21,46,46  The diagram shows an arthropod. How many pairs of jointed legs does this arthropod have? A  2 B  20 C  21 D  40,1. Characteristics and Classification of Living Organisms
21,47,"47  Which group does not contain animals that are arthropods? A  annelids B  arachnids C  crustaceans D insects PhysicsAndMathsTutor.com48  Keys are used in biological identification. Which statement may appear in a key and alone could identify one of the plants in the diagrams? A  The plant has a single deep root with small branches. B  The plant has many similar roots, arising from a single point. C  The plant has one flower on the stem. D  The plant has pointed leaves.",1. Characteristics and Classification of Living Organisms
21,26,26  An organism has dry scales covering its body. To which vertebrate group does it belong? A  amphibian B fish C  mammal D reptile,1. Characteristics and Classification of Living Organisms
21,27,"27  Which characteristic of living organisms can involve ingestion, absorption and assimilation? A  excretion B  growth C  nutrition D respiration",1. Characteristics and Classification of Living Organisms
21,28,28  Which system is used for naming species? A  binomial B  conservation C  dichotomous D  natural selection PhysicsAndMathsTutor.com29 What  is  defined  as  the  chemical  reactions  that  break  down  food  molecules  in  cells  to  release energy? A  excretion B  movement C  nutrition D respiration,1. Characteristics and Classification of Living Organisms
21,30,"30  The diagram shows a section through a flower. petal Using the key, identify this flower. 1 sepals present  ..............................................   go to 2 sepals absent  ...............................................   go to 3 2 stamens attached to petals  ..........................   A stamens not attached to petals  ....................   B 3 stigma above anthers  ...................................   C stigma below anthers  ...................................   D 31  Which process produces heat to maintain a person’s body temperature? A  excretion B  nutrition C D reproduction respiration PhysicsAndMathsTutor.com32  Which shows an organism that has been named using the binomial system? A  Bacterium B  Flowering plant C  HIV D  Homo sapiens",1. Characteristics and Classification of Living Organisms
21,33,33  The diagram shows a flowering plant. Use the key to identify the plant. plant flower has four petals flower has five petals leaves with smooth edges leaves with jagged edges leaves with smooth edges leaves with jagged edges A B C D,1. Characteristics and Classification of Living Organisms
