component,question number,text,topic
21,4,4  What is the approximate percentage of oxygen in expired air? A  0.04% B  4% C  16% D  21%,1. Characteristics and Classification of Living Organisms
21,42,42 The diagram shows an animal. Use the key to identify the animal. 1  wings present  ........................................   go to 2 wings absent  .........................................   go to 3 2  one pair of wings visible  ........................   A two pairs of wings visible  .......................   B 3 three pairs of legs  ..................................   C four pairs of legs  ....................................   D 43  Growth is a characteristic feature of living organisms. Which process provides the energy for growth? A  excretion B  movement C respiration D  sensitivity,1. Characteristics and Classification of Living Organisms
21,44,44  The  table  shows  the  number  of  animals  collected  in  a  sample  from  some  woodland  and  the groups to which they belong. How many arthropods were collected? A  33 B  97 C  120 D  160 45  Which process provides the raw materials needed for tissue repair? A  excretion B  growth C  nutrition D respiration,1. Characteristics and Classification of Living Organisms
21,46,46  The diagram shows an arthropod. How many pairs of jointed legs does this arthropod have? A  2 B  20 C  21 D  40,1. Characteristics and Classification of Living Organisms
21,47,"47  Which group does not contain animals that are arthropods? A  annelids B  arachnids C  crustaceans D insects 48  Keys are used in biological identification. Which statement may appear in a key and alone could identify one of the plants in the diagrams? A  The plant has a single deep root with small branches. B  The plant has many similar roots, arising from a single point. C  The plant has one flower on the stem. D  The plant has pointed leaves.",1. Characteristics and Classification of Living Organisms
21,26,26  An organism has dry scales covering its body. To which vertebrate group does it belong? A  amphibian B fish C  mammal D reptile,1. Characteristics and Classification of Living Organisms
21,27,"27  Which characteristic of living organisms can involve ingestion, absorption and assimilation? A  excretion B  growth C  nutrition D respiration",1. Characteristics and Classification of Living Organisms
21,28,28  Which system is used for naming species? A  binomial B  conservation C  dichotomous D  natural selection 29 What  is  defined  as  the  chemical  reactions  that  break  down  food  molecules  in  cells  to  release energy? A  excretion B  movement C  nutrition D respiration,1. Characteristics and Classification of Living Organisms
21,30,"30  The diagram shows a section through a flower. petal Using the key, identify this flower. 1 sepals present  ..............................................   go to 2 sepals absent  ...............................................   go to 3 2 stamens attached to petals  ..........................   A stamens not attached to petals  ....................   B 3 stigma above anthers  ...................................   C stigma below anthers  ...................................   D 31  Which process produces heat to maintain a person’s body temperature? A  excretion B  nutrition C D reproduction respiration 32  Which shows an organism that has been named using the binomial system? A  Bacterium B  Flowering plant C  HIV D  Homo sapiens",1. Characteristics and Classification of Living Organisms
21,33,33  The diagram shows a flowering plant. Use the key to identify the plant. plant flower has four petals flower has five petals leaves with smooth edges leaves with jagged edges leaves with smooth edges leaves with jagged edges A B C D,1. Characteristics and Classification of Living Organisms
21,36,36 Which leaf comes from a monocotyledonous plant? A B C D,1. Characteristics and Classification of Living Organisms
21,37,37  The diagrams show four different animals. They are not drawn to the same scale. W Y X Z Which are vertebrates? A  W and X B  X and Y C  Y and Z D  W and Z 38  The diagram shows half a flower. The following key may be used to identify the plant on which the flower is growing. 1 petals separate from sepals  ................................   go to 2 petals and sepals joined  ......................................   plant P 2 flower with four stamens ......................................   plant Q flower with more than four stamens .....................   go to 3,1. Characteristics and Classification of Living Organisms
21,3,3  ovary as tall as wide  ............................................   plant R ovary taller than wide ...........................................   go to 4 4 flower has two petals  ...........................................   plant S flower has more than two petals ..........................   plant T To which plant does the flower belong? A  plant P B  plant Q C  plant R D  plant T 39  The diagram shows some organisms living in water. animals plant decomposers Which process is carried out by all the living organisms shown? A photosynthesis B  pollination C D respiration transpiration,1. Characteristics and Classification of Living Organisms
21,40,"40  The table lists some of the features of three groups of invertebrates – arthropods, annelids and molluscs. Which shows the correct features of each group? arthropods annelids molluscs A B C D segmented body, segmented soft body, rarely exoskeleton and jointed have legs limbs segmented body, segmented body, exoskeleton and jointed exoskeleton and jointed limbs limbs unsegmented soft body, have internal or external shell segmented soft body, rarely have legs unsegmented soft body, have internal or external shell segmented soft body, rarely have legs unsegmented soft body, have internal or external shell segmented soft body, rarely have legs unsegmented soft body, have internal or external segmented body, exoskeleton and jointed shell limbs 41  What are characteristics of all organisms? A  egestion and excretion B  egestion and nutrition C  excretion and nutrition D  excretion and photosynthesis",1. Characteristics and Classification of Living Organisms
21,42,42  The table shows the classification of four vertebrate animals. Which two organisms are most closely related? A  1  and 2 B  1 and 3 C  2 and 3 D  2 and 4,1. Characteristics and Classification of Living Organisms
21,43,43  Living animals release carbon dioxide. This is an example of which life process? A  excretion B  movement C  nutrition D  sensitivity,1. Characteristics and Classification of Living Organisms
21,41,41 Which feature is characteristic of both annelids and arthropods? A compound eyes B jointed limbs C segmented bodies D wings,1. Characteristics and Classification of Living Organisms
21,40,40 Why does the energy needed by a human increase during the first ten years of life? A B C D Coordination and responses improve. Energy is needed for gamete formation. The body is growing. The diet is more balanced.,1. Characteristics and Classification of Living Organisms
21,34,"34 Which process removes the waste products of metabolism from the body? A excretion B nutrition C reproduction D respiration 35 According to the binomial system, how should a human be named? A B C D Homo Sapiens Homo sapiens homo Sapiens homo sapiens",1. Characteristics and Classification of Living Organisms
