component,question number,text,topic
21.0,3.0,3  The graph shows how the speed of a van changes with time for part of its journey. In which labelled section is the van decelerating? speed 0 0 A B C D time PhysicsAndMathsTutor.com,1. General Physics
21.0,38.0,"38  Some energy sources are reliably available at all times, and some are not. Which row shows three sources all in their correct columns? PhysicsAndMathsTutor.com 39  A woman in a factory has to lift a box on to a shelf. high shelf low shelf box Which action involves the woman in doing the least amount of work? A B C D lifting the box quickly to the high shelf lifting the box slowly to the high shelf lifting the box to the low shelf first then lifting it to the high shelf lifting the box to the low shelf instead of to the high shelf",1. General Physics
21.0,40.0,"40  An aeroplane is landing. As it descends towards the runway, its speed reduces. What are the energy changes that take place during the descent? A  kinetic  +  gravitational  →  thermal (heat) B  kinetic  →  gravitational  +  thermal (heat) C  kinetic  +  thermal (heat)  →  gravitational D thermal (heat)  →  kinetic  +  gravitational",1. General Physics
21.0,41.0,41  Energy from uranium is transferred to electrical energy in a nuclear power station. What is the correct order of the stages of this process? A  boiler → generator → reactor → turbine B  generator → boiler → turbine → reactor C D reactor → boiler → turbine → generator reactor → turbine → boiler → generator PhysicsAndMathsTutor.com 42 In which pair of energy sources are both sources renewable? A  oil and coal B  oil and tidal C D tidal and geothermal tidal and nuclear fission,1. General Physics
21.0,43.0,"43  An object on a thread is swinging between X and Z, as shown in the diagram. It is momentarily at rest at X and at Z. thread X Z Y An incomplete word equation about the energy of the object is shown below. gravitational potential energy   = kinetic energy   +  ……… energy   +   energy losses at X at Y at Y Which form of energy is needed to complete the word equation? A  chemical B  gravitational potential C internal D  strain PhysicsAndMathsTutor.com",1. General Physics
21.0,44.0,44  Electricity can be obtained from different energy resources. Which energy resource is used to obtain electricity without producing heat to boil water? A  coal B  gas C  hydroelectric D  nuclear,1. General Physics
21.0,45.0,"45  A ball is dropped on to a hard surface and bounces. It does not bounce all the way back to where it started, so it has less gravitational potential energy than when it started. ball dropped from here ball bounces to here hard surface What happens to the ‘lost’ energy? A B C D It is converted into chemical and strain energy. It is converted into internal (heat) energy and sound. It is destroyed as the ball rises upwards after hitting the ground. It is destroyed when the ball hits the ground.",1. General Physics
21.0,46.0,46  Which row gives an example of the stated form of energy? form of energy example A B C D gravitational the energy due to the movement of a train along a level track internal the energy due to the flow of cathode rays in a cathode-ray tube kinetic the energy due to the position of a swimmer standing on a high diving board strain the energy due to the compression of springs in a car seat PhysicsAndMathsTutor.com,1. General Physics
21.0,47.0,47  Which energy resource is used to generate electricity by first boiling water? A  hydroelectric B  nuclear fission C tides D  waves,1. General Physics
21.0,48.0,"48  Two farmers use an electrically powered elevator to lift bales of hay. All the bales of hay have the same mass. bale of hay As sunset approaches, they increase the speed of the motor so that more bales are lifted up in a given time. How does this affect the work done in lifting each bale and the useful output power of the motor? PhysicsAndMathsTutor.com p 49  A force F moves a load from the bottom of a slope to the top. r F q lo a d The work done by the force depends on the size of the force, and on a distance. What is this distance? A p B q C r D p + q",1. General Physics
21.0,50.0,"50  Energy is released in some nuclear reactions. Which nuclear reaction takes place in a nuclear power station, and which nuclear reaction takes place in the Sun? PhysicsAndMathsTutor.com 51  A lorry of mass 4000 kg is travelling at a speed of 4.0 m / s. A car has a mass of 1000 kg. The kinetic energy of the car is equal to the kinetic energy of the lorry. What is the speed of the car? A  2.0 m / s B  4.0 m / s C  8.0 m / s D  16.0 m / s",1. General Physics
21.0,52.0,"52  A force acts on an object and causes the object to move a certain distance, in the same direction as the force. Which row represents a situation in which the largest amount of work is done on the object by the force? 53  A stone of mass m is held at rest in water. The stone is released and falls vertically a distance h. The stone reaches a speed v. Some  of  the  original  energy  of  the  stone  is  transferred  to  the  water.  As  it  falls,  resistive  forces cause the temperature of the water and stone to increase. Which expression gives the work done against the resistive forces? A 1 2 mv 2 B  mgh  –   2 1 mv 2 C  mgh D  mgh  +   2",1. General Physics
21.0,1.0,1 mv 2 PhysicsAndMathsTutor.com 54  Which energy resource does not derive its energy from the Sun? A  geothermal B  hydroelectric C  oil D  waves,1. General Physics
21.0,55.0,55  Some processes are more efficient than others. Which expression gives the efficiency of a process? A B C D total energy output total energy input × 100% useful energy output total energy input × 100% wasted energy output total energy input × 100% wasted energy output useful energy output × 100%,1. General Physics
21.0,57.0,57  The diagram shows the energy used by a modern lamp. 60 W input of electrical power 12 W of useful power output as light 48 W of power wasted in heating surroundings Which expression gives the efficiency of the lamp? A 12 60 × 100% B 12 48 × 100% C 48 60 × 100% D 48 12 × 100%,1. General Physics
21.0,58.0,58  Three boxes each weigh 100 N. A man lifts all the boxes together from the ground on to a shelf that is 1.5 m above the ground. The man takes 2.0 s to do this. boxes shelf 1.5 m How much useful power does the man produce to lift the boxes? A  75 W B  225 W C  300 W D  900 W PhysicsAndMathsTutor.com,1. General Physics
21.0,37.0,37  A  car  moves  along  a  level  road  at  constant  speed.  Work  is  done  by  the  engine  and  power  is developed by the engine. Which pair of graphs shows how the work done and the power developed vary with time? A power work B power work 0 0 time 0 0 time 0 0 time 0 0 time C power work D power work 0 0 time 0 0 time 0 0 time 0 0 time,1. General Physics
21.0,36.0,"36  An escalator (moving stairs) and a lift (elevator) are both used to carry passengers from the same underground railway platform up to street level. escalator lift The escalator takes 20 seconds to carry a man to street level. The useful work done is W. The useful power developed is P. The lift takes 30 seconds to carry the same man to street level. How much useful work is done by the lift, and how much useful power is developed by the lift? useful work done by lift useful power developed by lift A B C D more than W less than P more than W P W W less than P P PhysicsAndMathsTutor.com",1. General Physics
21.0,35.0,35  The diagram shows a hydroelectric system. reservoir pipe water power station What are the main energy changes taking place? A  chemical energy → kinetic energy → electrical energy B  electrical energy → gravitational energy → kinetic energy C  gravitational energy → kinetic energy → electrical energy D  kinetic energy → electrical energy → gravitational energy PhysicsAndMathsTutor.com,1. General Physics
21.0,34.0,34  A student does some work by pulling a suitcase along a corridor. She now pulls a second suitcase along the corridor. Which row indicates that the student is now doing twice as much work? the force used to pull suitcase the distance the suitcase is pulled A B C D is doubled is doubled is doubled is halved stays the same is doubled stays the same is halved,1. General Physics
21.0,14.0,14  A student measures the length of a spring. She then hangs different weights from the spring. She measures the length of the spring for each different weight. The table shows her results. weight / N length / mm 0 1.0 2.0 3.0 4.0 5.0 520 524 528 533 537 540 What is the extension of the spring when the weight hung from it is 3.0 N? A 4 mm B  5 mm C  12 mm D  13 mm PhysicsAndMathsTutor.com 15 A  geothermal B  hydroelectric C  nuclear D  solar,1. General Physics
21.0,16.0,16  Which source of energy involves the splitting of heavy atoms? A  chemical energy B  geothermal energy C  hydroelectric energy D  nuclear energy,1. General Physics
21.0,17.0,"17  A cyclist travels down a hill from rest at point X, without pedalling. The cyclist applies his brakes and the cycle stops at point Y. X hill Y Which energy changes have taken place between X and Y? A  gravitational potential → kinetic → thermal (heat) B  gravitational potential → thermal (heat) → kinetic C  kinetic → gravitational potential → thermal (heat) D  kinetic → thermal (heat) → gravitational potential PhysicsAndMathsTutor.com 18 To calculate the power produced by a force, the size of the force must be known. What else needs to be known to calculate the power? the distance the force moves the object the time for which the force acts on the object A B C D key = needed = not needed",1. General Physics
21.0,19.0,19  Which form of energy is used to generate electrical energy in a tidal power station? A  chemical energy B  gravitational energy C internal energy (thermal energy) D  nuclear energy,1. General Physics
21.0,20.0,20  Four different model steam engines each lift a 1.0 kg object from the same laboratory floor to the same laboratory bench. Each engine takes a different time to lift the object. How does the most powerful engine compare with the other engines? speed of lifting object onto bench useful work done A B C D faster faster slower slower more than other engines same as other engines less than other engines same as other engines PhysicsAndMathsTutor.com,1. General Physics
21.0,21.0,21  What needs to be known to calculate the work done by a force acting on an object? the size of the force the distance the force moves the object the time for which the force acts A B C D key = needed = not needed 22 Electrical energy may be obtained from nuclear fission. In which order is the energy transferred in this process? A  nuclear fuel → generator → reactor and boiler → turbines B  nuclear fuel → generator → turbines → reactor and boiler C  nuclear fuel → reactor and boiler → generator → turbines D  nuclear fuel → reactor and boiler → turbines → generator,1. General Physics
21.0,23.0,23  A car is stationary at the top of a hill with the engine switched off. The brakes are released and the car rolls down the hill. At which labelled point does the car have the greatest kinetic energy? Ignore friction. A B D C PhysicsAndMathsTutor.com,1. General Physics
21.0,59.0,59  The table gives four energy sources and states whether the energy of the source is derived from the Sun. Which row is correct? 60  A weight-lifter raises a 2000 N weight through a vertical height of 2.0 m in 0.80 s. What useful power does he develop in doing this? A  800 W B  3200 W C  4000 W D  5000 W,1. General Physics
21.0,24.0,24  Which row gives the energy change in a battery and the energy change in a solar cell? battery solar cell A B C D chemical to electrical electrical to light chemical to electrical light to electrical electrical to chemical electrical to light electrical to chemical light to electrical,1. General Physics
21.0,26.0,"26  Four people of equal weight on a beach use different routes to get to the top of a sea wall. slipway ladder sea wall beach Which person produces the greatest average power? person erson A B C D runs across the beach, then climbs the ladder walks across the beach, then climbs the ladder runs up the slipway walks up the slipway time taken / s 8 16 5 10",1. General Physics
21.0,27.0,27  Which energy transfer takes place when a matchstick burns? A  chemical to thermal B  chemical to nuclear C  nuclear to chemical D thermal to chemical PhysicsAndMathsTutor.com,1. General Physics
21.0,28.0,"28  Four cars are driven along a road. The table shows the work done by the engine in each car and the time taken by each car. Which engine produces the most power? 29 In a hydroelectric power station, one form of energy is stored in a lake or reservoir. This energy is then transferred in stages to another useful form, which is the output. Which row gives the name of the stored energy and the name of the output energy? stored energy output energy electrical thermal (heat) electrical kinetic gravitational electrical kinetic electrical A B C D",1. General Physics
21.0,30.0,30  A certain machine is very efficient. What does this mean? A B C D It produces a large amount of power. It uses very little energy. It wastes very little energy. It works very quickly. PhysicsAndMathsTutor.com,1. General Physics
21.0,31.0,"31  The list contains three energy resources P, Q and R. P Q R geothermal energy from hot rocks nuclear fission in reactors sunlight on solar panels Which of these resources are renewable? A  P and Q only B  P and R only C  Q and R only D  P, Q and R",1. General Physics
21.0,32.0,32  Which movement will require the greatest amount of work to be done? A  a force of 10 N moving an object a distance of 3.0 m B  a force of 10 N moving an object a distance of 5.0 m C  a force of 15 N moving an object a distance of 3.0 m D  a force of 15 N moving an object a distance of 5.0 m,1. General Physics
21.0,33.0,"33  When a bicycle lamp is switched on, what is the useful energy change within the battery? A  chemical energy to electrical energy B  electrical energy to chemical energy C  electrical energy to light energy D light energy to chemical energy PhysicsAndMathsTutor.com",1. General Physics
21.0,25.0,25  A  helicopter  takes  off  from  the  ground  and  rises  vertically.  It  then  hovers  at  a  constant  height above the ground. Which sequence of energy changes takes place during the gain in height? A  chemical → gravitational potential → kinetic B  chemical → kinetic → gravitational potential C  gravitational potential → chemical → kinetic D  kinetic → chemical → gravitational potential PhysicsAndMathsTutor.com,1. General Physics
21.0,13.0,"13  Two farmers use an electrically powered elevator to lift bales of hay. All the bales of hay have the same mass. bale of hay elevator As sunset approaches, they increase the speed of the elevator so that more bales are lifted up in a given time. How  does  this  affect  the  work  done  in  lifting  each  bale  and  the  useful  output  power  of  the elevator? work done in lifting each bale useful output power of the elevator A B C D increases increases decreases increases no change decreases no change increases",1. General Physics
21.0,61.0,61  A wind turbine generates 54 kW of useful power from an input of 180 kW of wind power. Which calculation gives the percentage efficiency of the turbine? A B C D 54 000 180 000 × 100 % 180 000 54 000 × 100 54,1. General Physics
