component,question number,text,topic
4.0,1.0,"1  Zirconium (Zr) is a metal in Period 5. Its main oxidation state is +4. (a) The following are all zirconium atoms:  90 40Zr,  91 40Zr and  92 40Zr. In terms of numbers of electrons, neutrons and protons, how are these three atoms the same and how are they different? They are the same because  ............................................................................................. ........................................................................................................................................... They are different because  ............................................................................................... .....................................................................................................................................  [3] (b)  Containers for fuel rods in nuclear reactors are made of zirconium. Nuclear reactors are used to produce energy and to make radioactive isotopes. (i) Which isotope of a different element is used as a fuel in nuclear reactors? ..............................................................................................................................  [1] (ii) State one medical and one industrial use of radioactive isotopes. .................................................................................................................................... ..............................................................................................................................  [2] (iii) Above 900 °C, zirconium reacts with water to form zirconium(IV) oxide, ZrO2, and hydrogen.  Write an equation for this reaction. ..............................................................................................................................  [2] (iv) In a nuclear accident, water may come in contact with very hot zirconium. Explain  why  the  presence  of  hydrogen  inside  the  reactor  greatly  increases  the danger of the accident. ..............................................................................................................................  [1] (c) It  is  possible  to  determine  whether  zirconium(IV)  oxide  is  acidic,  neutral,  basic  or amphoteric using an acid and an alkali. Complete the table of possible results. If the oxide is predicted to react write ‘R’, if it is predicted not to react write ‘NR’. predicted result with hydrochloric acid predicted result with aqueous sodium hydroxide if the oxide is acidic neutral basic amphoteric [4]",acids-bases-salts
4.0,1.0,"1  Silicon( IV) oxide, SiO2, and zirconium(IV) oxide, ZrO2, are both macromolecules. They have similar physical properties but silicon(IV) oxide is acidic and zirconium(IV) oxide is amphoteric. (a) Deﬁ ne the term macromolecule. ........................................................................................................................................... .....................................................................................................................................  [1] (b) (i) Predict three physical properties of these two oxides. .................................................................................................................................... .................................................................................................................................... ..............................................................................................................................  [3] (ii) Name an element which has the same physical properties as these two oxides. ..............................................................................................................................  [1] (c) (i) Name a reagent that reacts with the oxides of both elements. ..............................................................................................................................  [1] (ii) Name a reagent that reacts with only one of the oxides. reagent  ...................................................................................................................... oxide which reacts  ...............................................................................................  [2]",acids-bases-salts
4.0,2.0,"PhysicsAndMathsTutor.com2  Chlorine reacts with phosphorus to form phosphorus trichloride. (a) Draw a diagram showing the arrangement of the valency electrons in one molecule of the covalent compound, phosphorus trichloride. Use x to represent an electron from a phosphorus atom. Use o to represent an electron from a chlorine atom. (b)  Phosphorus trichloride reacts with water to form two acids. (i) Balance the equation for this reaction. PCl 3  +  .......H2O  →  .......HCl  +  H3PO3 [2] [1] (ii) Describe how you could show that phosphorus acid, H3PO3, is a weaker acid than hydrochloric acid. .................................................................................................................................... .................................................................................................................................... ..............................................................................................................................  [3] PhysicsAndMathsTutor.com(iii) T  wo salts of phosphorus acid are its sodium salt, which is soluble in water, and its calcium salt which is insoluble in water. Suggest a method of preparation for each of these salts from aqueous phosphorus acid. Specify any other reagent needed and brieﬂ y outline the method. sodium salt  ................................................................................................................ .................................................................................................................................... .................................................................................................................................... ..............................................................................................................................  [2] calcium salt  ................................................................................................................ .................................................................................................................................... .................................................................................................................................... ..............................................................................................................................  [2]",acids-bases-salts
4.0,3.0,"PhysicsAndMathsTutor.com3  This question is concerned with the following oxides. sulfur dioxide carbon monoxide lithium oxide aluminium oxide nitrogen dioxide strontium oxide (a)a) Which of the above oxides will react with hydrochloric acid but not with aqueous sodium hydroxide? ..............................................................................................................................  [1] (ii) Which of the above oxides will react with aqueous sodium hydroxide but not with hydrochloric acid? ..............................................................................................................................  [1] (iii) Which of the above oxides will react with both hydrochloric acid and aqueous sodium hydroxide? ..............................................................................................................................  [1] (iv) Which  of  the  above  oxides  will  not  react  with  hydrochloric  acid  or  with  aqueous sodium hydroxide? ..............................................................................................................................  [1] (b) T  wo of the oxides are responsible for acid rain. Identify the two oxides and explain their presence in the atmosphere. ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... .....................................................................................................................................  [5] PhysicsAndMathsTutor.com(c) Lithium oxide is an ionic compound. (i) Identify another ionic oxide in the list on page 3. ..............................................................................................................................  [1] (ii) Draw a diagram which shows the formula of lithium oxide, the charges on the ions and the arrangement of the valency electrons around the negative ion. Use x to represent an electron from an atom of oxygen. Use o to represent an electron from an atom of lithium. [2]",acids-bases-salts
4.0,4.0,"PhysicsAndMathsTutor.com4  Soluble salts can be made by the neutralisation of an acid by a base. Insoluble salts can be made by precipitation. (a) following The nickel(II) chloride-6-water, from the insoluble base nickel(II) carbonate. is  a  brief  description  of the  preparation  of the  soluble  salt, Nickel( II) carbonate is added in small amounts to hot dilute hydrochloric acid until it is in excess. The mixture is ﬁ ltered. The ﬁ ltrate is partially evaporated and then allowed to cool until crystals of nickel(II) chloride-6-water form. (i) Why is it necessary to use excess carbonate? .................................................................................................................................... ..............................................................................................................................  [1] (ii) Explain why it is necessary to ﬁ lter. ..............................................................................................................................  [1] (iii) Why partially evaporate rather than evaporate to dryness? .................................................................................................................................... ..............................................................................................................................  [1] (iv) What additional steps are needed to obtain dry crystals? .................................................................................................................................... ..............................................................................................................................  [2] (b)  Potassium chloride can be made from hydrochloric acid and potassium carbonate. (i) Why must a different experimental method be used for this preparation? .................................................................................................................................... ..............................................................................................................................  [1] (ii) Give a description of the different method used for this salt preparation. .................................................................................................................................... .................................................................................................................................... .................................................................................................................................... ..............................................................................................................................  [4] PhysicsAndMathsTutor.com(c) Insoluble  salts  are  made  by  precipitation. An  equation  for  the  preparation  of  barium sulfate is given below. BaCl 2(aq)  +  MgSO4(aq)  →  BaSO4(s)  +  MgCl 2(aq) This  reaction  can  be  used  to  ﬁ nd  x  in  the  formula  for  hydrated  magnesium  sulfate MgSO4.xH2O. A   known mass of hydrated magnesium sulfate, MgSO4.xH2O, was dissolved in water. Excess  aqueous  barium  chloride  was  added.  The  precipitate  of  barium  sulfate  was ﬁ ltered, washed and dried. Finally it was weighed. Mass of hydrated magnesium sulfate = 1.476 g Mass of barium sulfate formed = 1.398 g The mass of one mole of BaSO4 = 233 g The number of moles of BaSO4 formed = ............... The number of moles of MgSO4.xH2O = ............... The mass of one mole of MgSO4.xH2O = ............... g The mass of one mole of MgSO4 = 120 g The mass of xH2O in one mole of MgSO4.xH2O = ............... x = ............... [1] [1] [1 [1] [1]",acids-bases-salts
4.0,5.0,"PhysicsAndMathsTutor.com5  Thallium is a metal in Group III. It has oxidation states of +1 and +3. (a) Give the formula for the following thallium compounds. (i) (ii) thallium(I) sulﬁ de ..................................................................................................  [1] thallium(III) chloride .............................................................................................  [1] (b)  Thallium(I) chloride is insoluble in water. Complete the description of the preparation of a pure sample of this salt. Step 1 Mix  a  solution  of  sodium  chloride  with  thallium(I)  sulfate  solution. A  white  precipitate forms. Step 2 .....................................................................................................................................  [1] Step 3 .....................................................................................................................................  [1] Step 4 .....................................................................................................................................  [1] (c) When thallium(I) chloride is exposed to light, a photochemical reaction occurs. It changes from a white solid to a violet solid. (i) Name another metal halide which changes colour when exposed to light. Give the major use of this metal halide. name .......................................................................................................................... use .......................................................................................................................  [2] PhysicsAndMathsTutor.com(ii) A   piece of paper coated with thallium(I) chloride is exposed to a bright light. paper coated with thallium(I) chloride lamp Suggest two ways of increasing the time it takes for the violet colour to appear. .................................................................................................................................... .................................................................................................................................... ..............................................................................................................................  [2] (d)  Thallium(I) hydroxide is an alkali. It has similar properties to sodium hydroxide. (i) Complete the following word equation. thallium(I) hydroxide + ammonium sulfate → ...................... ...................... + ...................... + ...................... (ii) Complete the equation. ............  OH  +  H2SO4  →  ..................  +  .................. Tl [1] [2] (iii) Aqueous thallium(I) hydroxide was added to aqueous iron(II) sulfate. Describe what you would see and complete the ionic equation for the reaction. observation ................................................................................................................ ..............................................................................................................................  [1] equation Fe2+  +  ....... OH–  →  ................ [1]",acids-bases-salts
4.0,6.0,"PhysicsAndMathsTutor.com6  Soluble salts can be made using a base and an acid. (a) Complete this method of preparing dry crystals of the soluble salt cobalt(II) chloride-6-water from the insoluble base cobalt(II) carbonate. Step 1 Add an excess of cobalt(II) carbonate to hot dilute hydrochloric acid. Step 2 ........................................................................................................................................... ........................................................................................................................................... Step 3 ........................................................................................................................................... ........................................................................................................................................... Step 4 ........................................................................................................................................... .....................................................................................................................................  [4] PhysicsAndMathsTutor.com(b)  6.0 g of cobalt(II) carbonate was added to 40 cm3 of hydrochloric acid, concentration 2.0 mol / dm3. Calculate the maximum yield of cobalt(II) chloride-6-water and show that the cobalt(II) carbonate was in excess. CoCO3  + 2HCl  →  CoCl 2  +  CO2  +  H2O CoCl 2  +  6H2O  →  CoCl 2.6H2O Maximum yield Number of moles of HCl used = ......................... Number of moles of CoCl 2 formed = ......................... Number of moles of CoCl 2.6H2O formed = ......................... Mass of one mole of CoCl 2.6H2O = 238 g Maximum yield of CoCl 2.6H2O = ......................... g To show that cobalt(II) carbonate is in excess [4] Number of moles of HCl used = ......................... (use value from above) Mass of one mole of CoCO3 = 119 g Number of moles of CoCO3 in 6.0 g of cobalt(II) carbonate = ......................... [1] Explain why cobalt(II) carbonate is in excess   ................................................................. .....................................................................................................................................  [1]",acids-bases-salts
4.0,6.0,"PhysicsAndMathsTutor.com6  Ethylamine, CH 3–CH2–NH2, is a base which has similar properties to ammonia. (a) In aqueous ethylamine, there is the following equilibrium. CH3–CH2–NH2  +  H2O CH3–CH2–NH3 +  +  OH– Explain why water is behaving as an acid in this reaction. .....................................................................................................................................  [1] (b)  Given aqueous solutions of ethylamine and sodium hydroxide, describe how you could show that ethylamine is a weak base like ammonia and not a strong base like sodium hydroxide. ........................................................................................................................................... ........................................................................................................................................... .....................................................................................................................................  [3] (c) Ethylamine, like ammonia, reacts with acids to form salts. CH3–CH2–NH2  +   HCl  →  CH3–CH2–NH3Cl ethylammonium chloride Suggest how you could displace ethylamine from the salt, ethylammonium chloride. ........................................................................................................................................... .....................................................................................................................................  [2] PhysicsAndMathsTutor.com(d)  Explain the chemistry of the following reaction: When aqueous ethylamine is added to aqueous iron(III) chloride, a brown precipitate is formed. ........................................................................................................................................... .....................................................................................................................................  [2]",acids-bases-salts
4.0,5.0,"PhysicsAndMathsTutor.com5  A  length  of  magnesium  ribbon  was  added  to  50 cm3  of  sulfuric  acid,  concentration 1.0 mol / dm3. The time taken for the magnesium to react was measured. The experiment was repeated with the same volume of different acids. In all these experiments, the acid was in excess and the same length of magnesium ribbon was used. (a) experiment acid concentration in mol / dm3 time / s A B C D sulfuric acid propanoic acid hydrochloric acid hydrochloric acid 1.0 0.5 1.0 0.5 20 230 40 80 (i) Write these experiments in order of reaction speed. Give the experiment with the fastest speed ﬁ rst. ..............................................................................................................................  [1] (ii) Give reasons for the order you have given in (i). .................................................................................................................................... .................................................................................................................................... .................................................................................................................................... .................................................................................................................................... .................................................................................................................................... ..............................................................................................................................  [5] (b)  Suggest two changes to experiment C which would increase the speed of the reaction and explain why the speed would increase. The volume of the acid, the concentration of the acid and the mass of magnesium used were kept the same. change 1  ........................................................................................................................... explanation  ....................................................................................................................... ........................................................................................................................................... change 2  ........................................................................................................................... explanation  ....................................................................................................................... .....................................................................................................................................  [5]",acids-bases-salts
4.0,4.0,PhysicsAndMathsTutor.com4  Three ways of making salts are ● ● ● titration using a soluble base or carbonate neutralisation using an insoluble base or carbonate precipitation. (a) Complete the following table of salt preparations. method reagent 1 reagent 2 salt titration ................................... ................................... sodium nitrate ................................... ................................... neutralisation nitric acid ................................... copper(II) nitrate ................................... precipitation ................................... ................................... silver(I) chloride ................................... ................................... neutralisation sulfuric acid zinc(II) carbonate ................................... (b)b) Write an ionic equation with state symbols for the preparation of silver(I) chloride. ..............................................................................................................................  [2] ................................... [6] (ii) Complete the following equation. ZnCO3  +  H2SO4  →  ...............  +  ...............  +  ............... [2],acids-bases-salts
