component,question number,text,topic
21,2,"2  Diagrams X, Y and Z represent the three states of matter. X Y Z Which change occurs during boiling? A  X to Y B  Y to Z C  Z to X D  Z to Y",1 The particulate nature of matter
21,23,"23  Aqueous lead(II) nitrate and aqueous potassium iodide are added to a dish containing water, as shown. aqueous lead(II) nitrate aqueous potassium iodide yellow precipitate A yellow precipitate forms after a few minutes. Which process occurs before the precipitate forms? A  diffusion B  distillation C D fermentation filtration",1 The particulate nature of matter
21,21,21  The diagrams show the arrangement of particles in three different physical states of substance X. state 1 state 2 state 3 Which statement about the physical states of substance X is correct? A  Particles in state 1 vibrate about fixed positions. B  State 1 changes to state 2 by diffusion. C  State 2 changes directly to state 3 by condensation. D  The substance in stage 3 has a fixed volume. 22 In which changes do the particles move further apart? W liquid gas Y X Z solid A W and X B W and Z C X and Y D Y and Z PhysicsAndMathsTutor.com,1 The particulate nature of matter
21,17,"17  What are the processes W, X, Y and Z in the following diagram? W X solid liquid gas Y Z 18 ‘Particles  moving  very  slowly  from  an  area  of  high  concentration  to  an  area  of  low concentration.’ Which process is being described above? A  a liquid being frozen B  a solid melting C  a substance diffusing through a liquid D  a substance diffusing through the air PhysicsAndMathsTutor.com",1 The particulate nature of matter
21,16,16  The diagram shows a cup of tea. Which  row  describes  the  water  particles  in  the  air  above  the  cup  compared  with  the  water particles in the cup? moving faster closer together A B C D PhysicsAndMathsTutor.com,1 The particulate nature of matter
21,15,15 A gas jar of bromine vapour and a gas jar of air are set up as shown in diagram 1. The glass slide is removed. Diagram 2 shows the appearance of the gas jars after one hour. glass slide air bromine vapour mixture of air and bromine diagram 1 diagram 2 Which statement explains why the bromine and air mix together? A  Bromine is denser than air. B  Bromine is lighter than air. C  Bromine molecules moved upwards and molecules in air moved downwards. D  Molecules in bromine and air moved randomly.,1 The particulate nature of matter
21,14,14  An attempt was made to compress a gas and a solid using the apparatus shown. piston gas solid Which substance would be compressed and what is the reason for this? A B C D substance reason gas gas solid solid the gas particles are close together the gas particles are far apart the solid particles are close together the solid particles are far apart PhysicsAndMathsTutor.com,1 The particulate nature of matter
21,19,19  Which diagram shows the process of diffusion? A B C D key different atoms 20 In which substance are the particles close together and slowly moving past each other? A  air B ice C  steam D  water PhysicsAndMathsTutor.com,1 The particulate nature of matter
21,12,12  Two  gas  jars  each  contain  a  different  gas.  The  gas  jars  are  connected  and  the  cover  slips  are removed. The diagram shows what happens to the particles of the gases. cover slips Which process has occurred? A chemical reaction B condensation C diffusion D evaporation PhysicsAndMathsTutor.com,1 The particulate nature of matter
21,10,10  A few drops of perfume were spilt on the floor. A few minutes later the perfume could be smelt a few metres away. Which two processes had taken place? A distillation and condensation B distillation and diffusion C D evaporation and condensation evaporation and diffusion PhysicsAndMathsTutor.com 11 The diagram shows the result of dropping a purple crystal into water. water purple crystal after five hours purple solution Which processes take place in this experiment? chemical reaction diffusing dissolving A B C D,1 The particulate nature of matter
21,9,9  Which statement is an example of diffusion? A  A kitchen towel soaks up some spilt milk. B Ice cream melts in a warm room. C  Pollen from flowers is blown by the wind. D  The smell of cooking spreads through a house.,1 The particulate nature of matter
21,8,8  A  crystal  of  purple  potassium  manganate(VII)  was  added  to  each  of  the  beakers  shown  in  the diagram. hot water cold water crystal of potassium manganate(VII) One beaker contained hot water and the other beaker contained cold water. In both beakers the purple colour of the potassium manganate(VII) spreads out. Which result and explanation are correct? esult result explanation A B C D colour spreads faster in cold water particles move faster at a higher temperature colour spreads faster in cold water particles move slower at a higher temperature colour spreads faster in hot water particles move faster at a higher temperature colour spreads faster in hot water particles move slower at a higher temperature PhysicsAndMathsTutor.com,1 The particulate nature of matter
21,3,"3 Which change of state takes place during evaporation? A  gas to liquid B C liquid to gas liquid to solid D  solid to gas 4 In which process do particles move closer together but remain in motion? A  condensation B  diffusion C  evaporation D freezing PhysicsAndMathsTutor.com 5 The changes that occur when a substance changes state are shown below. solid W Z liquid X Y gas Which process, W, X, Y or Z, is occurring in the following four situations? 1 2 3 4 Butter melts on a warm day. Water condenses on a cold surface. The volume of liquid ethanol in an open beaker reduces. Ice forms inside a freezer. 6 The diagram shows a sugar lump in a cup of tea. Which two processes must happen to spread the sugar evenly in the tea? PhysicsAndMathsTutor.com 7 A sugar cube is dropped into a hot cup of tea. The tea is not stirred. Which statement explains why the tea becomes sweet? A  The heated water molecules penetrate the sugar cube. B  The hot tea causes the sugar to melt. C  The sugar cube dissolves and its molecules diffuse. D  The sugar molecules get hot and evaporate.",1 The particulate nature of matter
21,13,13  A liquid is heated until it boils. thermometer test-tube 25 cm3 liquid spirit burner ethanol Which result shows that the liquid in the test-tube is pure water? A B C D Condensation forms at the top of the test-tube. Steam is produced. The thermometer reads 100 °C. There is nothing left behind in the test-tube.,1 The particulate nature of matter
21,22,"22  Metal X reacts violently with water. Metal Y reacts slowly with steam. Metal Z does not react with dilute hydrochloric acid. What is the correct order of reactivity of these metals, most reactive first? A  X → Y → Z B  X → Z → Y C  Z → X → Y D  Z → Y → X",10 Metals
21,4,4  Which diagram shows the structure of an alloy? – + – + – + – + – + – + + – + A – + – C – + – + – + – + – B D,10 Metals
21,3,3  Some properties of substance X are listed. ● ● ● It conducts electricity when molten. It has a high melting point. It burns in oxygen and the product dissolves in water to give a solution with pH 11. What is X? A  a covalent compound B  a macromolecule C  a metal D  an ionic compound PhysicsAndMathsTutor.com,10 Metals
21,2,2  Which property is not considered a typical metallic property? A  good conductor of heat B low melting point C  malleable (can be hammered into shape) D  strong,10 Metals
21,1,"1  Three  students,  X,  Y  and  Z,  were  told  that  solid  P  reacts  with  dilute  acids  and  also  conducts electricity. The table shows the students’ suggestions about the identity of P. Which of the students are correct? A  X, Y and Z B  X only C  Y only D  Z only",10 Metals
21,25,"25  The table shows the results of adding three metals, P, Q and R, to dilute hydrochloric acid and to water. metal dilute hydrochloric acid water P Q R hydrogen produced hydrogen produced no reaction no reaction hydrogen produced no reaction What is the order of reactivity of the metals? 26  The table shows some reactions of the halogens. Which reaction is the most likely to be explosive? 27  Some metals react readily with dilute hydrochloric acid. Some metals can be extracted by heating their oxides with carbon. For which metal are both statements correct? A  calcium B  copper C iron D  magnesium PhysicsAndMathsTutor.com28  The diagram shows the positions of elements P, Q, R, S and T in the Periodic Table. These letters are not the chemical symbols for the elements. S T P Q R Which statement about the properties of these elements is correct? A  P reacts more vigorously with water than does Q. B  P, Q and R are all metals. C  T exists as diatomic molecules. D  T is more reactive than S.",10 Metals
21,24,24  A chemical engineer plans to produce hydrochloric acid. Which metal is best for the reaction container? A  copper B iron C  magnesium D  zinc PhysicsAndMathsTutor.com,10 Metals
21,23,23  A metal has the following properties. ● ● ● It does not react with cold water. It reacts with dilute hydrochloric acid. It cannot be extracted from its oxide using carbon. Between which two metals in the reactivity series should it be placed? A  calcium and magnesium B iron and copper C  magnesium and zinc D  zinc and iron,10 Metals
21,21,21  How does the reactivity of potassium compare with that of sodium and how does the reactivity of calcium compare with that of magnesium? reactivity of reactivity of potassium and sodium calcium and magnesium A B C D K greater than Na Ca greater than Mg K greater than Na Mg greater than Ca Na greater than K Ca greater than Mg Na greater than K Mg greater than Ca PhysicsAndMathsTutor.com,10 Metals
21,11,"11  The table shows the reactions of four different metals with water. What is the correct order of reactivity, from most reactive to least reactive? A  W → X → Y → Z B  W → Z → Y → X C  Z → W → X → Y D  Z → W → Y → X",10 Metals
21,19,"19  Q, R, S and T are four metals. Q is found naturally as the metal. R reacts with steam but not with cold water. S reacts violently with cold water. The oxide of T is reduced to T by heating with carbon. What is the order of reactivity of the four metals, starting with the most reactive first? A  Q → R → T → S B  Q → T → R → S C  S → R → Q → T D  S → R → T → Q PhysicsAndMathsTutor.com",10 Metals
21,16,16  Reactions of three metals and their oxides are listed in the table. What is the order of reactivity of the metals? 17  The list gives the order of some metals (and hydrogen) in the reactivity series. Metal X is also included: Most reactive K Mg Zn (H) X Least reactive  Cu Which row correctly shows the properties of metal X? PhysicsAndMathsTutor.com 18  Below are some metals in decreasing order of reactivity. magnesium zinc iron copper Titanium reacts with acid and cannot be extracted from its ore by heating with carbon. Where should titanium be placed in this list? A  below copper B  between iron and copper C  between magnesium and zinc D  between zinc and iron,10 Metals
21,14,"14  In  an  experiment,  three  test-tubes  labelled  X,  Y  and  Z  were  half-filled  with  dilute  hydrochloric acid.  A  different  metal  was  added  to  each  test-tube.  After  a  few  minutes  the  following observations were made. In tube X, bubbles slowly rose to the surface. In tube Y, there was a rapid release of bubbles. In tube Z, no bubbles were produced. Which three metals match the observations? 15  A student carried out an experiment to find the order of reactivity of five metals. They were tested with cold water, hot water and steam and the results recorded in a table. metal cold water hot water steam V W X Y Z no reaction reacts slowly vigorous reaction no reaction no reaction slow reaction reacts slowly vigorous reaction not attempted no reaction no reaction no reaction vigorous reaction explosive reaction not attempted What is the order of reactivity of these metals? A B C D most reactive least reactive V W Z Z Y Z V Y X V W W Z Y Y V PhysicsAndMathsTutor.com",10 Metals
21,13,13  An element X has the two properties listed. 1 2 It acts as a catalyst. It forms colourless ions. Which of these properties suggest that X is a transition element? property 1 property 2 A B C D PhysicsAndMathsTutor.com,10 Metals
21,12,"12  The oxide of element X is reduced by heating with carbon. Element X does not react with cold water, steam or dilute hydrochloric acid. What is X? A  copper B iron C  magnesium D  zinc",10 Metals
21,5,5  Which statement is true for all metals? A  Their atoms lose one or more electrons when they react. B  They are brittle. C  They do not conduct electricity when solid. D  They melt at low temperatures when they are heated. PhysicsAndMathsTutor.com6  Which diagram represents an alloy? A C B D,10 Metals
21,10,10  Metal X lies between zinc and iron in the reactivity series. Which statements about metal X are correct? 1 2 3 4 It reacts with steam to produce hydrogen gas. It does not react with steam but will produce hydrogen with dilute acid. The metal can be obtained from its oxide by heating strongly with charcoal. The metal oxide cannot be reduced using carbon. A  1 and 3 B  1 and 4 C  2 and 3 D  2 and 4 PhysicsAndMathsTutor.com,10 Metals
21,9,"9  The statements describe how different metals react with cold water. ● Calcium sinks, fizzing and releasing a steady stream of hydrogen. ● Copper does not react. ● Sodium floats, fizzing and rapidly releasing hydrogen. ● Zinc does not react but does react with steam, releasing hydrogen. Using the information, where should hydrogen be placed in the reactivity series? A  below copper B  between sodium and calcium C  between calcium and zinc D  between zinc and copper",10 Metals
21,8,"8  Samples of five different metals, E, F, G, H and J were reacted with dilute sulfuric acid using the apparatus shown. gas syringe bung metal dilute sulfuric acid The volume of hydrogen gas collected after one minute was measured. The results are shown on the bar chart. volume of gas collected / cm3 25 20 15 10 5 0 E F H J G metal What is the order of reactivity of the metals (most reactive first)? A B C D E, F, G, H, J G, E, H, F, J J, F, H, E, G J, H, G, F, E PhysicsAndMathsTutor.com",10 Metals
21,20,"20  Pieces  of  copper,  iron,  magnesium  and  zinc  are  added  to  separate  test-tubes  containing  dilute hydrochloric acid. Which test-tube contains iron and dilute hydrochloric acid? A B C D",10 Metals
21,7,7  The diagrams show the structure of two substances used to make electrical conductors. X Y Which statement correctly describes X and Y? A  X is a pure metal and Y is a compound. B  X is a pure metal and Y is an alloy. C  X is a solid and Y is a liquid. D  X is harder and stronger than Y. PhysicsAndMathsTutor.com,10 Metals
21,17,17  Brass is used in electrical equipment. It contains two ……1…… elements. Together they form ……2…… . Which words correctly complete gaps 1 and 2? 1 metallic metallic 2 a covalent compound an alloy non-metallic a covalent compound non-metallic an alloy A B C D,10 Metals
21,10,10  Which metal is commonly used to form alloys with a non-metallic element? A  copper B iron C  magnesium D  zinc PhysicsAndMathsTutor.com,10 Metals
21,1,1  Iron from a blast furnace is treated with oxygen and with calcium oxide to make steel. Which substances in the iron are removed? oxygen removes A B C D carbon carbon iron iron calcium oxide removes acidic oxides basic oxides acidic oxides basic oxides,10 Metals
21,35,"35  An inert atmosphere is needed in a lamp to lengthen the useful life of the metal filament. Why is argon, rather than helium, used for this purpose? argon is more abundant argon is less dense in the air than helium A B C D",10 Metals
21,34,34  Which property do all metals have? A  They are soluble in water. B  They conduct electricity. C  They have high melting points. D  They react with dilute sulfuric acid. PhysicsAndMathsTutor.com,10 Metals
21,33,33  Compound X is heated with carbon using the apparatus shown. compound X and carbon reaction tube heat A brown solid is formed in the reaction tube and the limewater turns cloudy. limewater What is compound X? A  calcium oxide B  copper(II) oxide C  magnesium oxide D  sodium oxide,10 Metals
21,30,"30  Copper, iron and zinc are all used as pure metals. Which of these three metals are also used in alloys? PhysicsAndMathsTutor.com 31  Some properties of four elements are shown in the table. Which element is a metal? 32  Which statement about alloys is not correct? A  Alloys are more expensive than the metals they are made from. B  Alloys are mixtures of different metals. C  Alloys are not as strong as the metals they are made from. D  Alloys conduct electricity well. PhysicsAndMathsTutor.com",10 Metals
21,29,29  Which property do all metals have? A  Their boiling points are low. B  Their densities are low. C  They conduct electricity. D  They react with water.,10 Metals
21,26,26  Which substance is a metal? 27 Element X is shiny and can be formed into a sheet by hammering. Which row correctly describes the properties of element X? conducts electricity  melts below 25 °C A B C D PhysicsAndMathsTutor.com28  Which diagram could represent the structure of an alloy? – + – A + – C + – +  – –  + B D,10 Metals
21,25,25  Brass is an alloy of copper and zinc. Which statement is correct? A B C D Brass can be represented by a chemical formula. Brass is formed by a chemical reaction between copper and zinc. The alloy will dissolve completely in dilute hydrochloric acid. The zinc in the alloy will dissolve in dilute hydrochloric acid.,10 Metals
21,23,"23  Which statements are correct? 1 2 3 Metals are often used in the form of alloys. Stainless steel is an alloy of iron. Alloys always contain more than two metals. A  1 and 2 only  B  1 and 3 only  C  2 and 3 only  D  1, 2 and 3 24  Which statement is true about all metals? A  They are attracted to a magnet. B  They are weak and brittle. C  They may be used to form alloys. D  They react with water. PhysicsAndMathsTutor.com",10 Metals
21,22,22  Which statements about the general properties of metals are correct? 1 2 conduct electricity when solid form acidic oxides 3 high melting point A  1 and 3 B  1 only C  2 and 3 D  2 only,10 Metals
21,21,21  Which statement about aluminium is not correct? A B C D It is resistant to corrosion. It is strong and has a high density. It is used in food containers. It is used in the manufacture of aircraft.,10 Metals
